experiment_name,impression_id,freq
Berlin I,08762985-5600-4cf9-98ae-14ee704a8b87,5.079
Berlin II,09df28c5-7860-4fdd-a36b-f7102afd2240,2.115
Berlin II,e934b2db-9261-4b64-9920-213d5d84c6b1,16.582
