Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      1795      1795          0       1002      1135      1019     254750       2.000
    2     21174     19378          0       1002       114      1111     277826       4.000
    3     27276      6102       2102       1002       309       945     236436       2.000
    4     33798      6521       4521       1002       343      1119     279808       2.000
    5     40029      6231       4231       1002       370      1154     288654       2.000
    6     42496      2466        466       1002       824      1016     254082       2.000
    7     46536      4040       2040       1002       461       932     233115       2.000
    8     53940      7404       5404       1002       248       921     230404       2.000
    9     59275      5334       3334       1002       292       779     194933       2.000
   10     65440      6165       4165       1002       257       793     198266       2.000
   11     70446      5005       3005       1002       324       812     203169       2.000
   12     86220     15774      13774       1002       102       806     201716       2.000
   13     97422     11201       9201       1002       191      1070     267691       2.000
   14    100328      2906        906       1002       651       946     236530       2.000
   15    106286      5957       3957       1002       272       811     202998       2.000
   16    112234      5948       3948       1002       312       927     231991       2.000
   17    121894      9659       7659       1002       217      1052     263035       2.000
   18    129108      7213       5213       1002       306      1106     276603       2.000
   19    137639      8531       6531       1002       261      1113     278375       2.000
   20    140692      3052       1052       1002       800      1222     305651       2.000
   21    141972      1279          0       1002      1790      1145     286426       2.720
   22    144368      2396          0       1002       910      1090     272598       2.324
   23    149964      5596       3272       1002       359      1006     251612       2.000
   24    164640     14675      12675       1002       115       850     212723       2.000
   25    172532      7891       5891       1002       232       917     229343       2.000
   26    179971      7439       5439       1002       215       801     200468       2.000
   27    186518      6546       4546       1002       250       819     204863       2.000
   28    197333     10814       8814       1002       173       940     235088       2.000
   29    208963     11629       9629       1002       181      1056     264170       2.000
   30    218339      9376       7376       1002       187       877     219390       2.000
   31    223531      5192       3192       1002       331       860     215151       2.000
   32    230282      6750       4750       1002       304      1028     257050       2.000
   33    239163      8880       6880       1002       233      1034     258720       2.000
   34    258558     19394      17394       1002       112      1086     271582       2.000
   35    270977     12419      10419       1002       197      1229     307361       2.000
   36    282254     11276       9276       1002       212      1200     300176       2.000
   37    290124      7870       5870       1002       266      1049     262322       2.000
   38    297995      7870       5870       1002       242       954     238656       2.000
   39    304669      6674       4674       1002       276       922     230537       2.000
   40    310843      6173       4173       1002       292       903     225791       2.000
   41    319864      9021       7021       1002       186       842     210560       2.000
   42    325327      5462       3462       1002       283       773     193322       2.000
   43    327956      2628        628       1002       663       871     217898       2.000
   44    334995      7039       5039       1002       316      1112     278194       2.000
   45    341876      6881       4881       1002       254       877     219280       2.000
   46    350054      8177       6177       1002       210       860     215102       2.000
   47    358954      8899       6899       1002       226      1007     251815       2.000
   48    364005      5050       3050       1002       403      1019     254855       2.000
   49    365891      1886          0       1002      1197      1129     282290       2.114
   50    368262      2371        257       1002      1034      1226     306522       2.000
   51    370127      1864          0       1002      1228      1145     286359       2.136
   52    377381      7254       5118       1002       299      1087     271950       2.000
   53    379032      1651          0       1002      1228      1014     253536       2.349
   54    382241      3208        860       1002       643      1032     258063       2.000
   55    389148      6906       4906       1002       250       866     216653       2.000
   56    390117       968          0       1002      1738       841     210472       3.031
   57    394967      4850       1818       1002       333       808     202110       2.000
   58    396673      1705          0       1002       930       793     198453       2.294
   59    400192      3519       1224       1002       669      1178     294537       2.000
   60    402039      1846          0       1002      1011       933     233429       2.154
   61    406275      4236       2082       1002       348       738     184579       2.000
   62    408105      1830          0       1002       998       913     228462       2.169
   63    410026      1920          0       1002      1123      1078     269699       2.249
   64    419916      9890       7641       1002       206      1018     254745       2.000
   65    425872      5955       3955       1002       398      1187     296877       2.000
   66    429245      3373       1373       1002       677      1143     285901       2.000
   67    433394      4148       2148       1002       543      1127     281936       2.000
   68    437641      4246       2246       1002       494      1049     262483       2.000
   69    443051      5409       3409       1002       387      1048     262019       2.000
   70    453424     10373       8373       1002       163       846     211534       2.000
   71    456365      2941        941       1002       577       850     212505       2.000
   72    460167      3801       1801       1002       437       831     207755       2.000
   73    464402      4234       2234       1002       389       823     205946       2.000
   74    473383      8981       6981       1002       243      1095     273908       2.000
   75    476817      3433       1433       1002       545       936     234233       2.000
   76    478669      1851          0       1002       806       746     186629       2.148
   77    480110      1440          0       1002      1254       903     225923       2.707
   78    483494      3384        677       1002       630      1067     266807       2.000
   79    485039      1545          0       1002      1331      1028     257247       2.454
   80    493162      8122       5668       1002       276      1122     280708       2.000
   81    496101      2938        938       1002       839      1233     308258       2.000
   82    503600      7499       5499       1002       305      1146     286630       2.000
   83    506632      3031       1031       1002       727      1103     275824       2.000
   84    509491      2859        859       1002       735      1051     262827       2.000
   85    511270      1779          0       1002       943       838     209712       2.221
   86    512958      1687          0       1002      1080       912     228045       2.533
   87    514654      1695          0       1002       986       836     209238       2.837
   88    515690      1036          0       1002      1570       813     203406       3.801
   89    517151      1461          0       1002      1310       957     239452       4.340
   90    518313      1161          0       1002      1786      1037     259385       5.178
   91    519938      1625          0       1002      1089       885     221335       5.553
   92    521267      1329          0       1002      1231       818     204612       6.224
   93    521808       540          0       1002      3592       971     242863       7.683
   94    522427       618          0       1002      3236      1001     250359       9.064
   95    525989      3562          0       1002       601      1070     267709       7.501
   96    527325      1335          0       1002      1844      1232     308044       8.165
   97    528201       875          0       1002      2711      1186     296743       9.290
   98    528939       737          0       1002      2969      1095     273829      10.552
   99    529732       793          0       1002      2484       985     246352      11.759
New connection was opened
  100    531609      1876          0       1002       988       927     231867      11.882
