Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      2594      2594          0       1002       785      1019     254750       2.000
    2      7229      4634          0       1002       479      1111     277826       4.000
    3     19058     11829       7829       1002       159       945     236436       2.000
    4     33446     14387      12387       1002       155      1119     279808       2.000
    5     37303      3856       1856       1002       598      1154     288654       2.000
    6     39970      2666        666       1002       762      1016     254082       2.000
    7     41143      1172          0       1002      1590       932     233115       2.827
    8     42851      1707          0       1002      1079       921     230404       3.119
    9     44229      1378          0       1002      1131       779     194933       3.741
   10     45267      1037          0       1002      1528       793     198266       4.703
   11     45909       641          0       1002      2532       812     203169       6.062
   12     56969     11059       4998       1002       145       806     201716       2.000
   13     63316      6347       4347       1002       337      1070     267691       2.000
   14     66052      2735        735       1002       691       946     236530       2.000
   15     79713     13660      11660       1002       118       811     202998       2.000
   16     84127      4414       2414       1002       420       927     231991       2.000
   17     91224      7097       5097       1002       296      1052     263035       2.000
   18     99973      8749       6749       1002       252      1106     276603       2.000
   19    113006     13032      11032       1002       170      1113     278375       2.000
   20    120635      7629       5629       1002       320      1222     305651       2.000
   21    143600     22964      20964       1002        99      1145     286426       2.000
   22    155392     11792       9792       1002       184      1090     272598       2.000
   23    163721      8328       6328       1002       241      1006     251612       2.000
   24    171340      7618       5618       1002       223       850     212723       2.000
   25    183107     11766       9766       1002       155       917     229343       2.000
   26    185903      2796        796       1002       573       801     200468       2.000
   27    187778      1874          0       1002       874       819     204863       2.125
   28    188951      1173          0       1002      1603       940     235088       2.952
   29    189928       977          0       1002      2162      1056     264170       3.975
   30    190296       367          0       1002      4773       877     219390       5.607
   31    190723       427          0       1002      4028       860     215151       7.180
   32    191034       310          0       1002      6621      1028     257050       8.869
   33    191554       519          0       1002      3983      1034     258720      10.350
   34    197497      5943          0       1002       365      1086     271582       6.406
   35    219021     21524      15117       1002       114      1229     307361       2.000
   36    240150     21128      19128       1002       113      1200     300176       2.000
   37    249340      9189       7189       1002       228      1049     262322       2.000
   38    256579      7238       5238       1002       263       954     238656       2.000
   39    270071     13492      11492       1002       136       922     230537       2.000
   40    289352     19281      17281       1002        93       903     225791       2.000
   41    296635      7283       5283       1002       231       842     210560       2.000
   42    299183      2547        547       1002       607       773     193322       2.000
   43    303997      4814       2814       1002       362       871     217898       2.000
   44    309365      5367       3367       1002       414      1112     278194       2.000
   45    311241      1876          0       1002       935       877     219280       2.124
   46    314637      3395       1271       1002       506       860     215102       2.000
   47    334317     19679      17679       1002       102      1007     251815       2.000
   48    341621      7304       5304       1002       279      1019     254855       2.000
   49    345473      3851       1851       1002       586      1129     282290       2.000
   50    348794      3321       1321       1002       738      1226     306522       2.000
   51    351221      2426        426       1002       944      1145     286359       2.000
   52    353079      1858          0       1002      1170      1087     271950       2.142
   53    354098      1018          0       1002      1991      1014     253536       3.123
   54    365797     11698       8575       1002       176      1032     258063       2.000
