Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      6638      6638          0       1002       307      1019     254750       2.000
    2     13917      7279          0       1002       305      1111     277826       4.000
    3     16362      2444          0       1002       773       945     236436       3.555
    4     18433      2071          0       1002      1080      1119     279808       3.484
    5     23573      5140       1656       1002       449      1154     288654       2.000
    6     25021      1447          0       1002      1404      1016     254082       2.553
    7     31050      6029       3476       1002       309       932     233115       2.000
    8     33336      2286        286       1002       806       921     230404       2.000
    9     40009      6673       4673       1002       233       779     194933       2.000
   10     40988       979          0       1002      1620       793     198266       3.021
   11     41997      1008          0       1002      1611       812     203169       4.013
   12     42717       720          0       1002      2239       806     201716       5.292
   13     43688       971          0       1002      2205      1070     267691       6.321
   14     47657      3968          0       1002       476       946     236530       4.352
   15     48474       817          0       1002      1987       811     202998       5.535
   16     51751      3277          0       1002       566       927     231991       4.258
   17     52840      1088          0       1002      1932      1052     263035       5.169
   18     56227      3386          0       1002       653      1106     276603       3.782
   19     57411      1184          0       1002      1880      1113     278375       4.598
   20     62027      4615         17       1002       529      1222     305651       2.000
   21     63969      1941          0       1002      1180      1145     286426       2.058
   22     65538      1569          0       1002      1389      1090     272598       2.488
   23     67311      1772          0       1002      1135      1006     251612       2.715
   24     68309       998          0       1002      1704       850     212723       3.717
   25     69131       821          0       1002      2232       917     229343       4.896
   26     72407      3275          0       1002       489       801     200468       3.620
   27     77839      5432       1811       1002       301       819     204863       2.000
   28     85045      7206       5206       1002       260       940     235088       2.000
   29     91631      6585       4585       1002       320      1056     264170       2.000
   30    100134      8502       6502       1002       206       877     219390       2.000
   31    103147      3013       1013       1002       571       860     215151       2.000
   32    105060      1912          0       1002      1075      1028     257050       2.087
   33    125538     20477      18390       1002       101      1034     258720       2.000
   34    141089     15551      13551       1002       139      1086     271582       2.000
   35    145723      4633       2633       1002       530      1229     307361       2.000
   36    147329      1606          0       1002      1495      1200     300176       2.394
   37    148485      1155          0       1002      1815      1049     262322       3.238
   38    149452       967          0       1002      1972       954     238656       4.270
   39    150303       850          0       1002      2169       922     230537       5.420
   40    150821       518          0       1002      3482       903     225791       6.901
   41    151368       546          0       1002      3082       842     210560       8.355
   42    151800       431          0       1002      3580       773     193322       9.923
   43    152234       434          0       1002      4015       871     217898      11.489
   44    152850       616          0       1002      3610      1112     278194      12.873
   45    157584      4734          0       1002       370       877     219280      10.138
   46    168786     11201       1063       1002       153       860     215102       2.000
   47    178564      9777       7777       1002       206      1007     251815       2.000
   48    194727     16163      14163       1002       126      1019     254855       2.000
   49    198625      3897       1897       1002       579      1129     282290       2.000
   50    201804      3179       1179       1002       771      1226     306522       2.000
   51    210156      8351       6351       1002       274      1145     286359       2.000
   52    217175      7019       5019       1002       309      1087     271950       2.000
   53    218854      1679          0       1002      1207      1014     253536       2.321
   54    220418      1563          0       1002      1320      1032     258063       2.758
   55    224848      4430       1673       1002       391       866     216653       2.000
   56    229945      5096       3096       1002       330       841     210472       2.000
   57    237833      7888       5888       1002       204       808     202110       2.000
   58    245004      7170       5170       1002       221       793     198453       2.000
   59    254921      9916       7916       1002       237      1178     294537       2.000
   60    259765      4843       2843       1002       385       933     233429       2.000
   61    260793      1028          0       1002      1435       738     184579       2.971
   62    262514      1721          0       1002      1061       913     228462       3.250
   63    264031      1516          0       1002      1422      1078     269699       3.734
   64    265330      1298          0       1002      1569      1018     254745       4.435
   65    266383      1053          0       1002      2254      1187     296877       5.381
   66    267304       920          0       1002      2485      1143     285901       6.461
   67    271034      3730          0       1002       604      1127     281936       4.731
   68    271940       906          0       1002      2316      1049     262483       5.824
   69    272614       673          0       1002      3113      1048     262019       7.151
   70    273227       613          0       1002      2760       846     211534       8.538
   71    273657       430          0       1002      3952       850     212505      10.108
   72    274711      1054          0       1002      1576       831     207755      11.054
   73    274972       260          0       1002      6324       823     205946      12.793
   74    278416      3444          0       1002       636      1095     273908      11.349
   75    279326       909          0       1002      2059       936     234233      12.439
   76    279655       329          0       1002      4531       746     186629      14.110
   77    280158       502          0       1002      3597       903     225923      15.607
   78    280751       593          0       1002      3598      1067     266807      17.014
   79    281258       507          0       1002      4055      1028     257247      18.507
   80    283716      2457          0       1002       913      1122     280708      18.049
   81    284519       802          0       1002      3071      1233     308258      19.246
   82    285088       568          0       1002      4030      1146     286630      20.677
   83    285684       596          0       1002      3701      1103     275824      22.081
   84    286102       417          0       1002      5037      1051     262827      23.664
