Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      6271      6271          0       1002       324      1019     254750       2.000
    2     10509      4237          0       1002       524      1111     277826       4.000
    3     15548      5039       1039       1002       375       945     236436       2.000
    4     17987      2439        439       1002       917      1119     279808       2.000
    5     19523      1535          0       1002      1503      1154     288654       2.465
    6     22604      3081        616       1002       659      1016     254082       2.000
    7     28731      6127       4127       1002       304       932     233115       2.000
    8     31212      2480        480       1002       742       921     230404       2.000
    9     32625      1412          0       1002      1103       779     194933       2.587
   10     35047      2421          0       1002       654       793     198266       2.165
   11     36593      1546          0       1002      1051       812     203169       2.619
   12     39926      3332        713       1002       484       806     201716       2.000
   13     42380      2454        454       1002       872      1070     267691       2.000
   14     47489      5109       3109       1002       370       946     236530       2.000
   15     54099      6609       4609       1002       245       811     202998       2.000
   16     56652      2553        553       1002       726       927     231991       2.000
   17     58567      1915          0       1002      1098      1052     263035       2.085
   18     59885      1317          0       1002      1679      1106     276603       2.767
   19     63416      3531        764       1002       630      1113     278375       2.000
   20     66601      3184       1184       1002       767      1222     305651       2.000
   21     68389      1787          0       1002      1281      1145     286426       2.212
   22     69287       897          0       1002      2429      1090     272598       3.315
   23     70217       930          0       1002      2162      1006     251612       4.384
   24     73313      3095          0       1002       549       850     212723       3.288
   25     74273       960          0       1002      1909       917     229343       4.328
   26     75003       729          0       1002      2197       801     200468       5.598
   27     78252      3249          0       1002       504       819     204863       4.349
   28     79247       994          0       1002      1890       940     235088       5.354
   29     80697      1449          0       1002      1457      1056     264170       5.905
   30     82233      1536          0       1002      1142       877     219390       6.369
   31     85363      3129          0       1002       549       860     215151       5.239
   32     86029       666          0       1002      3086      1028     257050       6.572
   33     87040      1010          0       1002      2047      1034     258720       7.562
   34    100569     13529       5967       1002       160      1086     271582       2.000
   35    106390      5820       3820       1002       422      1229     307361       2.000
   36    113365      6975       4975       1002       344      1200     300176       2.000
   37    116804      3439       1439       1002       610      1049     262322       2.000
   38    123392      6588       4588       1002       289       954     238656       2.000
   39    127998      4606       2606       1002       400       922     230537       2.000
   40    133995      5996       3996       1002       301       903     225791       2.000
   41    140322      6326       4326       1002       266       842     210560       2.000
   42    149622      9300       7300       1002       166       773     193322       2.000
   43    155556      5934       3934       1002       293       871     217898       2.000
   44    165394      9837       7837       1002       226      1112     278194       2.000
   45    169177      3782       1782       1002       463       877     219280       2.000
   46    171296      2119        119       1002       812       860     215102       2.000
   47    176097      4801       2801       1002       419      1007     251815       2.000
   48    182930      6832       4832       1002       298      1019     254855       2.000
   49    191979      9049       7049       1002       249      1129     282290       2.000
   50    200122      8143       6143       1002       301      1226     306522       2.000
   51    202586      2463        463       1002       930      1145     286359       2.000
   52    208548      5962       3962       1002       364      1087     271950       2.000
   53    211141      2593        593       1002       782      1014     253536       2.000
   54    216881      5739       3739       1002       359      1032     258063       2.000
   55    218485      1604          0       1002      1080       866     216653       2.395
   56    219379       893          0       1002      1884       841     210472       3.502
   57    220274       895          0       1002      1806       808     202110       4.607
   58    221753      1478          0       1002      1073       793     198453       5.128
   59    226782      5029          0       1002       468      1178     294537       2.098
   60    233772      6989       4891       1002       267       933     233429       2.000
   61    239106      5333       3333       1002       276       738     184579       2.000
   62    241585      2479        479       1002       737       913     228462       2.000
   63    247537      5951       3951       1002       362      1078     269699       2.000
   64    255494      7956       5956       1002       256      1018     254745       2.000
   65    269570     14075      12075       1002       168      1187     296877       2.000
   66    278510      8940       6940       1002       255      1143     285901       2.000
   67    282334      3823       1823       1002       589      1127     281936       2.000
   68    283933      1599          0       1002      1312      1049     262483       2.400
   69    299004     15070      12670       1002       139      1048     262019       2.000
   70    302886      3882       1882       1002       435       846     211534       2.000
   71    304668      1781          0       1002       954       850     212505       2.219
   72    306001      1333          0       1002      1246       831     207755       2.885
   73    307084      1082          0       1002      1522       823     205946       3.803
   74    308624      1540          0       1002      1422      1095     273908       4.262
   75    313132      4507        245       1002       415       936     234233       2.000
   76    314308      1175          0       1002      1269       746     186629       2.824
   77    315298       990          0       1002      1825       903     225923       3.834
   78    315901       603          0       1002      3539      1067     266807       5.231
   79    316935      1033          0       1002      1990      1028     257247       6.197
   80    318322      1386          0       1002      1619      1122     280708       6.810
   81    322956      4634          0       1002       532      1233     308258       4.176
   82    324002      1045          0       1002      2192      1146     286630       5.130
   83    327918      3916          0       1002       563      1103     275824       3.214
   84    333961      6042       2828       1002       347      1051     262827       2.000
   85    335653      1692          0       1002       991       838     209712       2.307
   86    337255      1602          0       1002      1138       912     228045       2.705
   87    341059      3803       1098       1002       440       836     209238       2.000
   88    342513      1453          0       1002      1119       813     203406       2.547
   89    347466      4953       2406       1002       386       957     239452       2.000
   90    349404      1938          0       1002      1070      1037     259385       2.061
   91    350012       607          0       1002      2915       885     221335       3.454
   92    350558       546          0       1002      2993       818     204612       4.907
   93    351667      1108          0       1002      1752       971     242863       5.798
   94    352761      1093          0       1002      1831      1001     250359       6.705
   95    356455      3694          0       1002       579      1070     267709       5.010
   96    360828      4372          0       1002       563      1232     308044       2.638
   97    365266      4437       1799       1002       534      1186     296743       2.000
   98    367054      1788          0       1002      1224      1095     273829       2.212
   99    368225      1170          0       1002      1683       985     246352       3.041
New connection was opened
  100    370252      2026          0       1002       915       927     231867       3.014
  101    371300      1048          0       1002      1821       954     238675       3.966
  102    375656      4356        390       1002       388       847     211800       2.000
  103    378129      2473        473       1002       630       779     194798       2.000
  104    379611      1481          0       1002      1201       889     222463       2.518
  105    381255      1643          0       1002      1341      1102     275691       2.875
  106    382632      1377          0       1002      1256       865     216312       3.497
  107    386511      3879        382       1002       431       837     209296       2.000
  108    389224      2712        712       1002       705       956     239197       2.000
  109    395191      5967       3967       1002       336      1005     251312       2.000
  110    397859      2667        667       1002       785      1047     261945       2.000
  111    400250      2390        390       1002      1036      1238     309607       2.000
  112    403640      3390       1390       1002       684      1159     289996       2.000
  113    405818      2177        177       1002      1010      1100     275122       2.000
  114    413281      7462       5462       1002       279      1043     260948       2.000
  115    417567      4285       2285       1002       488      1047     261834       2.000
  116    421231      3664       1664       1002       478       876     219248       2.000
  117    422897      1665          0       1002      1007       839     209811       2.334
  118    424590      1692          0       1002       967       818     204739       2.642
  119    425990      1400          0       1002      1141       799     199847       3.242
  120    427779      1789          0       1002      1308      1170     292674       3.452
  121    431363      3583        131       1002       508       912     228003       2.000
  122    432892      1528          0       1002       989       756     189170       2.471
  123    437036      4144       1673       1002       420       871     217963       2.000
  124    438853      1816          0       1002      1159      1053     263410       2.183
  125    440721      1867          0       1002      1113      1040     260016       2.316
  126    441695       974          0       1002      2441      1189     297258       3.342
  127    442291       595          0       1002      3759      1120     280031       4.746
  128    446399      4108          0       1002       564      1160     290002       2.637
  129    467032     20632      17995       1002       103      1063     265919       2.000
  130    471763      4730       2730       1002       468      1108     277200       2.000
  131    473848      2084         84       1002       858       895     223847       2.000
  132    475540      1692          0       1002       983       832     208034       2.307
  133    489343     13802      11495       1002       118       818     204674       2.000
  134    500831     11488       9488       1002       142       820     205171       2.000
  135    504108      3276       1276       1002       664      1088     272093       2.000
  136    505368      1260          0       1002      1498       944     236114       2.740
  137    506420      1051          0       1002      1451       763     190885       3.688
  138    507753      1333          0       1002      1281       854     213630       4.355
  139    508943      1189          0       1002      1793      1066     266678       5.165
  140    509722       778          0       1002      2512       978     244617       6.386
  141    510691       968          0       1002      2380      1153     288278       7.417
  142    511219       527          0       1002      4561      1204     301019       8.889
  143    512047       828          0       1002      2783      1152     288207      10.061
  144    512521       473          0       1002      4741      1123     280760      11.587
  145    515745      3223          0       1002       669      1078     269678      10.364
  146    516703       958          0       1002      1833       878     219667      11.405
  147    517350       646          0       1002      2779       898     224679      12.759
  148    517837       487          0       1002      3327       810     202613      14.271
  149    519747      1909          0       1002       866       827     206855      14.362
  150    520350       603          0       1002      3180       960     240000      15.758
