Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      1988      1988          0       1002      1024      1019     254750       2.000
    2     12247     10259          0       1002       216      1111     277826       4.000
    3     14226      1978          0       1002       955       945     236436       4.021
    4     23048      8821       4800       1002       253      1119     279808       2.000
    5     27892      4843       2843       1002       476      1154     288654       2.000
    6     30285      2393        393       1002       849      1016     254082       2.000
    7     34778      4492       2492       1002       415       932     233115       2.000
    8     36924      2145        145       1002       859       921     230404       2.000
    9     41014      4089       2089       1002       381       779     194933       2.000
   10     46008      4994       2994       1002       317       793     198266       2.000
   11     52150      6142       4142       1002       264       812     203169       2.000
   12     52989       839          0       1002      1923       806     201716       3.161
   13     53905       915          0       1002      2339      1070     267691       4.245
   14     54700       795          0       1002      2379       946     236530       5.450
   15     55098       397          0       1002      4082       811     202998       7.052
   16     55598       500          0       1002      3711       927     231991       8.552
   17     56146       548          0       1002      3839      1052     263035      10.004
   18     58729      2583          0       1002       856      1106     276603       9.421
   19     61315      2585          0       1002       861      1113     278375       8.836
   20     62575      1260          0       1002      1939      1222     305651       9.575
   21     68587      6011          0       1002       381      1145     286426       5.564
   22     70083      1496          0       1002      1457      1090     272598       6.067
   23     71331      1247          0       1002      1613      1006     251612       6.820
   24     72465      1134          0       1002      1500       850     212723       7.685
   25     73576      1110          0       1002      1651       917     229343       8.575
   26     75031      1455          0       1002      1101       801     200468       9.119
   27     76617      1585          0       1002      1033       819     204863       9.534
   28     86613      9995        462       1002       188       940     235088       2.000
   29     91076      4463       2463       1002       473      1056     264170       2.000
   30     91995       918          0       1002      1910       877     219390       3.082
   31     99020      7025       3943       1002       245       860     215151       2.000
   32    102402      3381       1381       1002       608      1028     257050       2.000
   33    113513     11111       9111       1002       186      1034     258720       2.000
   34    119917      6403       4403       1002       339      1086     271582       2.000
   35    126832      6915       4915       1002       355      1229     307361       2.000
   36    129325      2492        492       1002       963      1200     300176       2.000
   37    130509      1184          0       1002      1772      1049     262322       2.816
   38    131275       766          0       1002      2491       954     238656       4.050
   39    131720       445          0       1002      4144       922     230537       5.605
   40    132301       581          0       1002      3108       903     225791       7.023
   41    133069       767          0       1002      2194       842     210560       8.256
   42    133634       565          0       1002      2735       773     193322       9.690
   43    134152       517          0       1002      3368       871     217898      11.173
   44    134754       602          0       1002      3694      1112     278194      12.570
   45    134848        93          0       1002     18721       877     219280      14.477
   46    146508     11659          0       6002       891      5197    1299363       4.817
   47    167687     21179      16362       4002       437      4632    1158249       2.000
   48    173203      5516       3516       1002       369      1019     254855       2.000
   49    175638      2435        435       1002       927      1129     282290       2.000
   50    177148      1510          0       1002      1623      1226     306522       2.490
   51    178513      1364          0       1002      1678      1145     286359       3.125
   52    179271       758          0       1002      2869      1087     271950       4.367
   53    179979       707          0       1002      2867      1014     253536       5.660
