Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      2548      2548          0       1002       799      1019     254750       2.000
    2      5582      3034          0       1002       732      1111     277826       4.000
    3     13883      8300       4300       1002       227       945     236436       2.000
    4     17505      3622       1622       1002       617      1119     279808       2.000
    5     23708      6202       4202       1002       372      1154     288654       2.000
    6     27172      3464       1464       1002       586      1016     254082       2.000
    7     32531      5359       3359       1002       347       932     233115       2.000
    8     40033      7501       5501       1002       245       921     230404       2.000
    9     44212      4179       2179       1002       373       779     194933       2.000
   10     46250      2038         38       1002       778       793     198266       2.000
   11     50978      4727       2727       1002       343       812     203169       2.000
   12     52589      1610          0       1002      1001       806     201716       2.389
   13     54250      1661          0       1002      1289      1070     267691       2.728
   14     55276      1026          0       1002      1844       946     236530       3.702
   15     59193      3916        215       1002       414       811     202998       2.000
   16     61141      1947          0       1002       952       927     231991       2.052
   17     61993       852          0       1002      2469      1052     263035       3.200
   18     70179      8186       4986       1002       270      1106     276603       2.000
   19     81993     11813       9813       1002       188      1113     278375       2.000
   20     93696     11702       9702       1002       208      1222     305651       2.000
   21    101175      7478       5478       1002       306      1145     286426       2.000
   22    102593      1418          0       1002      1537      1090     272598       2.582
   23    103860      1266          0       1002      1589      1006     251612       3.315
   24    105101      1241          0       1002      1371       850     212723       4.074
   25    106006       905          0       1002      2026       917     229343       5.169
   26    106075        68          0       1002     23314       801     200468       7.100
   27    110640      4564          0       6002      2346      5355    1338944       4.535
   28    125232     14591      10056       6002       814      5945    1486411       2.000
   29    125990       757          0       1002      2788      1056     264170       3.242
   30    127016      1026          0       1002      1709       877     219390       4.216
   31    131075      4058          0       1002       424       860     215151       2.157
   32    138510      7434       5278       1002       276      1028     257050       2.000
   33    146919      8409       6409       1002       246      1034     258720       2.000
   34    150023      3103       1103       1002       699      1086     271582       2.000
   35    156991      6968       4968       1002       352      1229     307361       2.000
   36    161169      4177       2177       1002       574      1200     300176       2.000
   37    163417      2247        247       1002       933      1049     262322       2.000
   38    168843      5425       3425       1002       351       954     238656       2.000
   39    172480      3636       1636       1002       507       922     230537       2.000
   40    174366      1886          0       1002       957       903     225791       2.113
   41    175783      1416          0       1002      1188       842     210560       2.696
   42    177938      2155          0       1002       717       773     193322       2.541
   43    179112      1173          0       1002      1484       871     217898       3.367
   44    183670      4557       1190       1002       488      1112     278194       2.000
   45    187515      3844       1844       1002       456       877     219280       2.000
   46    189198      1683          0       1002      1022       860     215102       2.316
   47    190180       981          0       1002      2052      1007     251815       3.335
   48    196904      6724       3389       1002       303      1019     254855       2.000
   49    209864     12959      10959       1002       174      1129     282290       2.000
   50    217713      7849       5849       1002       312      1226     306522       2.000
   51    222166      4452       2452       1002       514      1145     286359       2.000
   52    227841      5675       3675       1002       383      1087     271950       2.000
