Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      1962      1962          0       1002      1038      1019     254750       2.000
    2      3563      1601          0       1002      1387      1111     277826       4.000
    3      4669      1105          0       1002      1711       945     236436       4.895
    4      6283      1614          0       1002      1386      1119     279808       5.281
    5      6871       588          0       1002      3925      1154     288654       6.692
    6     20677     13805       7113       1002       147      1016     254082       2.000
    7     26665      5988       3988       1002       311       932     233115       2.000
    8     34501      7836       5836       1002       235       921     230404       2.000
    9     37392      2890        890       1002       539       779     194933       2.000
   10     51958     14566      12566       1002       108       793     198266       2.000
   11     68809     16850      14850       1002        96       812     203169       2.000
   12     74429      5620       3620       1002       287       806     201716       2.000
   13     87331     12901      10901       1002       165      1070     267691       2.000
   14     91622      4290       2290       1002       441       946     236530       2.000
   15     93694      2072         72       1002       783       811     202998       2.000
   16    112664     18970      16970       1002        97       927     231991       2.000
   17    128541     15876      13876       1002       132      1052     263035       2.000
   18    152889     24348      22348       1002        90      1106     276603       2.000
   19    163405     10515       8515       1002       211      1113     278375       2.000
   20    179711     16305      14305       1002       149      1222     305651       2.000
   21    182576      2865        865       1002       799      1145     286426       2.000
   22    195093     12517      10517       1002       174      1090     272598       2.000
   23    198259      3166       1166       1002       635      1006     251612       2.000
   24    199524      1264          0       1002      1345       850     212723       2.735
   25    202330      2805         70       1002       653       917     229343       2.000
   26    203978      1648          0       1002       972       801     200468       2.352
   27    204875       896          0       1002      1827       819     204863       3.455
   28    206152      1276          0       1002      1473       940     235088       4.178
   29    216467     10315       6137       1002       204      1056     264170       2.000
   30    224780      8312       6312       1002       211       877     219390       2.000
   31    226855      2074         74       1002       829       860     215151       2.000
   32    231240      4385       2385       1002       468      1028     257050       2.000
   33    233457      2216        216       1002       933      1034     258720       2.000
   34    237532      4074       2074       1002       533      1086     271582       2.000
   35    239887      2355        355       1002      1044      1229     307361       2.000
   36    241630      1742          0       1002      1377      1200     300176       2.257
   37    258273     16643      14386       1002       126      1049     262322       2.000
   38    264765      6491       4491       1002       294       954     238656       2.000
   39    267041      2276        276       1002       810       922     230537       2.000
   40    269096      2055         55       1002       878       903     225791       2.000
   41    270159      1062          0       1002      1585       842     210560       2.937
   42    270927       767          0       1002      2013       773     193322       4.169
   43    271562       635          0       1002      2744       871     217898       5.534
   44    286417     14854       9320       1002       149      1112     278194       2.000
   45    287635      1218          0       1002      1439       877     219280       2.781
   46    300241     12606       9824       1002       136       860     215102       2.000
   47    307838      7596       5596       1002       265      1007     251815       2.000
   48    313517      5679       3679       1002       358      1019     254855       2.000
   49    316489      2971        971       1002       759      1129     282290       2.000
   50    322063      5573       3573       1002       439      1226     306522       2.000
   51    327439      5376       3376       1002       426      1145     286359       2.000
   52    331388      3949       1949       1002       550      1087     271950       2.000
   53    341674     10285       8285       1002       197      1014     253536       2.000
   54    346735      5061       3061       1002       407      1032     258063       2.000
   55    355562      8827       6827       1002       196       866     216653       2.000
   56    359468      3905       1905       1002       431       841     210472       2.000
   57    361736      2268        268       1002       712       808     202110       2.000
   58    371002      9265       7265       1002       171       793     198453       2.000
   59    380157      9155       7155       1002       257      1178     294537       2.000
