Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      5477      5477          0       1002       372      1019     254750       2.000
    2      7307      1830          0       1002      1214      1111     277826       4.000
    3      9265      1958          0       1002       965       945     236436       4.041
    4     10960      1694          0       1002      1321      1119     279808       4.347
    5     17701      6741       2394       1002       342      1154     288654       2.000
    6     20163      2461        461       1002       825      1016     254082       2.000
    7     26814      6651       4651       1002       280       932     233115       2.000
    8     28863      2048         48       1002       899       921     230404       2.000
    9     33668      4805       2805       1002       324       779     194933       2.000
   10     36455      2786        786       1002       569       793     198266       2.000
   11     37580      1125          0       1002      1443       812     203169       2.874
   12     41836      4255       1381       1002       379       806     201716       2.000
   13     51473      9637       7637       1002       222      1070     267691       2.000
   14     56765      5291       3291       1002       357       946     236530       2.000
   15     58173      1408          0       1002      1153       811     202998       2.592
   16     59972      1798          0       1002      1031       927     231991       2.793
   17     60666       694          0       1002      3031      1052     263035       4.099
   18     68871      8204       4105       1002       269      1106     276603       2.000
   19     75637      6766       4766       1002       329      1113     278375       2.000
   20     77826      2188        188       1002      1117      1222     305651       2.000
   21     80081      2254        254       1002      1016      1145     286426       2.000
   22     81896      1814          0       1002      1201      1090     272598       2.185
   23     83647      1751          0       1002      1149      1006     251612       2.434
   24     85541      1893          0       1002       898       850     212723       2.540
   25     94049      8507       5967       1002       215       917     229343       2.000
   26    100250      6201       4201       1002       258       801     200468       2.000
   27    102697      2447        447       1002       669       819     204863       2.000
   28    104460      1763          0       1002      1066       940     235088       2.237
   29    105201       740          0       1002      2854      1056     264170       3.496
   30    106942      1741          0       1002      1007       877     219390       3.755
   31    112323      5381       1626       1002       319       860     215151       2.000
   32    121718      9395       7395       1002       218      1028     257050       2.000
   33    130016      8297       6297       1002       249      1034     258720       2.000
   34    135987      5971       3971       1002       363      1086     271582       2.000
   35    138325      2337        337       1002      1051      1229     307361       2.000
   36    139502      1176          0       1002      2041      1200     300176       2.824
   37    139823       321          0       1002      6525      1049     262322       4.502
   38    140448       625          0       1002      3054       954     238656       5.877
   39    145366      4917          0       1002       375       922     230537       2.960
   40    147943      2576          0       1002       700       903     225791       2.383
   41    151118      3175        792       1002       530       842     210560       2.000
   42    151291       173          0       1002      8922       773     193322       3.827
   43    153957      2666          0       1002       653       871     217898       3.160
   44    156260      2302          0       1002       966      1112     278194       2.858
   45    163348      7088       4230       1002       247       877     219280       2.000
