Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      9463      9463          0       1002       215      1019     254750       2.000
    2     17050      7587          0       1002       292      1111     277826       4.000
    3     20890      3839          0       1002       492       945     236436       2.160
    4     27833      6942       4782       1002       322      1119     279808       2.000
    5     39380     11547       9547       1002       199      1154     288654       2.000
    6     43192      3811       1811       1002       533      1016     254082       2.000
    7     44807      1615          0       1002      1154       932     233115       2.385
    8     53846      9039       6654       1002       203       921     230404       2.000
    9     59217      5371       3371       1002       290       779     194933       2.000
   10     64361      5144       3144       1002       308       793     198266       2.000
   11     70684      6322       4322       1002       257       812     203169       2.000
   12     78450      7766       5766       1002       207       806     201716       2.000
   13     86568      8118       6118       1002       263      1070     267691       2.000
   14    100296     13727      11727       1002       137       946     236530       2.000
   15    104942      4645       2645       1002       349       811     202998       2.000
   16    108254      3312       1312       1002       560       927     231991       2.000
   17    110874      2620        620       1002       803      1052     263035       2.000
   18    114761      3886       1886       1002       569      1106     276603       2.000
   19    120688      5927       3927       1002       375      1113     278375       2.000
   20    122667      1979          0       1002      1235      1222     305651       2.021
   21    124339      1672          0       1002      1369      1145     286426       2.348
   22    125909      1569          0       1002      1389      1090     272598       2.779
   23    127348      1439          0       1002      1398      1006     251612       3.340
   24    129204      1856          0       1002       916       850     212723       3.484
   25    130302      1097          0       1002      1671       917     229343       4.386
   26    131296       994          0       1002      1612       801     200468       5.391
   27    132353      1056          0       1002      1551       819     204863       6.335
   28    134190      1837          0       1002      1023       940     235088       6.498
   29    152786     18595      12098       1002       113      1056     264170       2.000
   30    167899     15112      13112       1002       116       877     219390       2.000
   31    179901     12002      10002       1002       143       860     215151       2.000
   32    187928      8026       6026       1002       256      1028     257050       2.000
   33    196398      8469       6469       1002       244      1034     258720       2.000
   34    212827     16429      14429       1002       132      1086     271582       2.000
   35    224602     11774       9774       1002       208      1229     307361       2.000
   36    240990     16388      14388       1002       146      1200     300176       2.000
   37    244723      3732       1732       1002       562      1049     262322       2.000
   38    246975      2252        252       1002       847       954     238656       2.000
   39    253752      6776       4776       1002       272       922     230537       2.000
   40    269378     15625      13625       1002       115       903     225791       2.000
   41    271369      1991          0       1002       845       842     210560       2.009
   42    273130      1760          0       1002       878       773     193322       2.248
   43    274241      1110          0       1002      1569       871     217898       3.137
   44    279015      4774       1637       1002       466      1112     278194       2.000
   45    287063      8048       6048       1002       217       877     219280       2.000
   46    301505     14442      12442       1002       119       860     215102       2.000
   47    304347      2841        841       1002       709      1007     251815       2.000
   48    308786      4439       2439       1002       459      1019     254855       2.000
   49    322944     14158      12158       1002       159      1129     282290       2.000
   50    326330      3385       1385       1002       724      1226     306522       2.000
   51    331917      5587       3587       1002       410      1145     286359       2.000
   52    334178      2261        261       1002       962      1087     271950       2.000
   53    335695      1516          0       1002      1337      1014     253536       2.483
   54    340563      4868       2384       1002       424      1032     258063       2.000
   55    345886      5323       3323       1002       325       866     216653       2.000
   56    353641      7754       5754       1002       217       841     210472       2.000
   57    362214      8573       6573       1002       188       808     202110       2.000
   58    367393      5178       3178       1002       306       793     198453       2.000
   59    370130      2737        737       1002       860      1178     294537       2.000
   60    371551      1420          0       1002      1314       933     233429       2.580
   61    376285      4734       2155       1002       311       738     184579       2.000
   62    383849      7563       5563       1002       241       913     228462       2.000
   63    388316      4466       2466       1002       483      1078     269699       2.000
   64    390616      2300        300       1002       886      1018     254745       2.000
   65    401728     11112       9112       1002       213      1187     296877       2.000
   66    403992      2263        263       1002      1010      1143     285901       2.000
   67    406887      2895        895       1002       779      1127     281936       2.000
   68    411148      4260       2260       1002       492      1049     262483       2.000
   69    414095      2946        946       1002       711      1048     262019       2.000
   70    416115      2019         19       1002       837       846     211534       2.000
   71    418117      2002          2       1002       849       850     212505       2.000
   72    419331      1213          0       1002      1369       831     207755       2.786
   73    420036       704          0       1002      2337       823     205946       4.081
   74    426508      6471       2390       1002       338      1095     273908       2.000
   75    428136      1628          0       1002      1150       936     234233       2.372
   76    429393      1256          0       1002      1188       746     186629       3.115
   77    430124       731          0       1002      2471       903     225923       4.384
   78    432729      2605          0       1002       819      1067     266807       3.778
   79    433875      1145          0       1002      1796      1028     257247       4.633
   80    435432      1557          0       1002      1442      1122     280708       5.075
   81    437788      2355          0       1002      1046      1233     308258       4.719
   82    442344      4555          0       1002       503      1146     286630       2.164
   83    446934      4590       2426       1002       480      1103     275824       2.000
   84    449689      2755        755       1002       763      1051     262827       2.000
   85    451654      1965          0       1002       853       838     209712       2.035
   86    453317      1662          0       1002      1097       912     228045       2.373
   87    454427      1110          0       1002      1507       836     209238       3.262
   88    455529      1101          0       1002      1477       813     203406       4.161
   89    456645      1116          0       1002      1715       957     239452       5.044
   90    459718      3072          0       1002       675      1037     259385       3.971
   91    461157      1438          0       1002      1230       885     221335       4.532
   92    464427      3269          0       1002       500       818     204612       3.262
   93    468372      3945        683       1002       492       971     242863       2.000
   94    478526     10153       8153       1002       197      1001     250359       2.000
   95    482561      4034       2034       1002       530      1070     267709       2.000
   96    491528      8967       6967       1002       274      1232     308044       2.000
   97    499184      7656       5656       1002       310      1186     296743       2.000
   98    503576      4391       2391       1002       498      1095     273829       2.000
   99    505350      1774          0       1002      1110       985     246352       2.225
New connection was opened
  100    508419      3068        843       1002       604       927     231867       2.000
  101    512006      3587       1587       1002       532       954     238675       2.000
  102    513277      1271          0       1002      1332       847     211800       2.729
  103    514688      1410          0       1002      1104       779     194798       3.318
  104    516637      1948          0       1002       913       889     222463       3.369
  105    518171      1534          0       1002      1437      1102     275691       3.835
  106    524559      6388       2553       1002       270       865     216312       2.000
  107    527978      3418       1418       1002       489       837     209296       2.000
