Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      5295      5295          0       1002       384      1019     254750       2.000
    2      7684      2389          0       1002       930      1111     277826       4.000
    3      8970      1285          0       1002      1471       945     236436       4.714
    4      9259       289          0       1002      7736      1119     279808       6.425
    5     10404      1145          0       1002      2016      1154     288654       7.280
    6     14294      3889          0       1002       522      1016     254082       5.390
    7     15609      1314          0       1002      1418       932     233115       6.075
    8     16718      1108          0       1002      1662       921     230404       6.966
    9     18037      1318          0       1002      1182       779     194933       7.648
   10     19181      1144          0       1002      1385       793     198266       8.503
   11     20149       967          0       1002      1679       812     203169       9.535
   12     21647      1498          0       1002      1077       806     201716      10.037
   13     26038      4391          0       1002       487      1070     267691       7.646
   14     34988      8949       1303       1002       211       946     236530       2.000
   15     37561      2572        572       1002       631       811     202998       2.000
   16     39615      2054         54       1002       903       927     231991       2.000
   17     43341      3725       1725       1002       564      1052     263035       2.000
   18     44010       669          0       1002      3305      1106     276603       3.331
   19     45390      1379          0       1002      1614      1113     278375       3.951
   20     46938      1548          0       1002      1579      1222     305651       4.403
   21     48290      1351          0       1002      1695      1145     286426       5.051
   22     49884      1594          0       1002      1367      1090     272598       5.457
   23     50735       850          0       1002      2365      1006     251612       6.606
   24     51324       588          0       1002      2890       850     212723       8.017
   25     52109       784          0       1002      2338       917     229343       9.232
   26     52402       292          0       1002      5475       801     200468      10.939
   27     52913       511          0       1002      3202       819     204863      12.428
   28     53305       391          0       1002      4801       940     235088      14.036
   29     53793       488          0       1002      4327      1056     264170      15.548
   30     56509      2715          0       1002       646       877     219390      14.832
   31     59083      2574          0       1002       668       860     215151      14.258
   32     60264      1181          0       1002      1740      1028     257050      15.077
   33     61820      1555          0       1002      1330      1034     258720      15.521
   34     69331      7511          0       1002       289      1086     271582      10.010
   35     71732      2400          0       1002      1024      1229     307361       9.609
   36     75528      3795          0       1002       632      1200     300176       7.813
   37     80339      4811          0       1002       436      1049     262322       5.002
   38     82299      1960          0       1002       973       954     238656       5.042
   39     84264      1964          0       1002       939       922     230537       5.078
   40     85649      1385          0       1002      1303       903     225791       5.692
   41     89406      3756          0       1002       448       842     210560       3.935
   42     91620      2213          0       1002       698       773     193322       3.721
   43     96721      5100       1379       1002       341       871     217898       2.000
   44    106946     10225       8225       1002       217      1112     278194       2.000
   45    113234      6288       4288       1002       278       877     219280       2.000
   46    121247      8012       6012       1002       214       860     215102       2.000
   47    133631     12384      10384       1002       162      1007     251815       2.000
   48    139812      6181       4181       1002       329      1019     254855       2.000
   49    147696      7883       5883       1002       286      1129     282290       2.000
   50    155865      8169       6169       1002       300      1226     306522       2.000
