Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      4608      4608          0       1002       442      1019     254750       2.000
    2     12679      8071          0       1002       275      1111     277826       4.000
    3     17981      5301       1301       1002       356       945     236436       2.000
    4     27934      9953       7953       1002       224      1119     279808       2.000
    5     31279      3345       1345       1002       690      1154     288654       2.000
    6     33438      2158        158       1002       941      1016     254082       2.000
    7     38603      5165       3165       1002       361       932     233115       2.000
    8     41143      2539        539       1002       725       921     230404       2.000
    9     43918      2774        774       1002       561       779     194933       2.000
   10     46085      2166        166       1002       732       793     198266       2.000
   11     51243      5158       3158       1002       315       812     203169       2.000
   12     54529      3286       1286       1002       491       806     201716       2.000
   13     57014      2485        485       1002       861      1070     267691       2.000
   14     58426      1411          0       1002      1340       946     236530       2.589
   15     59085       658          0       1002      2465       811     202998       3.930
   16     59902       817          0       1002      2271       927     231991       5.113
   17     60695       792          0       1002      2654      1052     263035       6.320
   18     61875      1180          0       1002      1875      1106     276603       7.140
   19     62423       548          0       1002      4060      1113     278375       8.591
   20     63691      1268          0       1002      1927      1222     305651       9.323
   21     67227      3535          0       1002       648      1145     286426       7.788
   22     68469      1242          0       1002      1755      1090     272598       8.545
   23     69161       691          0       1002      2909      1006     251612       9.854
   24     70129       967          0       1002      1758       850     212723      10.886
   25     70516       387          0       1002      4740       917     229343      12.499
   26     71443       927          0       1002      1728       801     200468      13.571
   27     72415       971          0       1002      1687       819     204863      14.600
   28     73013       598          0       1002      3144       940     235088      16.002
   29     73989       976          0       1002      2164      1056     264170      17.026
   30     74639       649          0       1002      2701       877     219390      18.376
   31     75383       744          0       1002      2312       860     215151      19.632
   32     85505     10121          0       1002       203      1028     257050      11.510
   33     87565      2059          0       1002      1004      1034     258720      11.450
   34     89029      1463          0       1002      1484      1086     271582      11.986
   35     90071      1042          0       1002      2358      1229     307361      12.944
   36     91214      1142          0       1002      2102      1200     300176      13.801
   37     92032       818          0       1002      2565      1049     262322      14.983
   38     92430       398          0       1002      4793       954     238656      16.585
   39     92887       456          0       1002      4037       922     230537      18.128
   40     93326       439          0       1002      4110       903     225791      19.689
   41     94094       768          0       1002      2193       842     210560      20.921
   42     94439       344          0       1002      4492       773     193322      22.576
   43     94798       358          0       1002      4855       871     217898      24.217
   44     97186      2388          0       1002       931      1112     278194      23.829
   45     97719       532          0       1002      3293       877     219280      25.296
   46    100503      2784          0       1002       618       860     215102      24.512
   47    101098       594          0       1002      3386      1007     251815      25.917
   48    101499       400          0       1002      5089      1019     254855      27.516
   49    104298      2798          0       1002       806      1129     282290      26.717
   50    115699     11401          0       1002       215      1226     306522      17.316
   51    124890      9190          0       1002       249      1145     286359      10.125
   52    126735      1845          0       1002      1179      1087     271950      10.280
   53    131440      4704          0       1002       431      1014     253536       7.575
   54    137771      6331          0       1002       326      1032     258063       3.244
   55    141615      3843        599       1002       450       866     216653       2.000
   56    144466      2850        850       1002       590       841     210472       2.000
   57    148217      3750       1750       1002       431       808     202110       2.000
   58    150257      2039         39       1002       778       793     198453       2.000
   59    158106      7849       5849       1002       300      1178     294537       2.000
   60    165037      6930       4930       1002       269       933     233429       2.000
   61    175156     10119       8119       1002       145       738     184579       2.000
   62    176953      1796          0       1002      1017       913     228462       2.203
   63    186282      9328       7125       1002       231      1078     269699       2.000
   64    196002      9720       7720       1002       209      1018     254745       2.000
   65    204739      8736       6736       1002       271      1187     296877       2.000
   66    206809      2070         70       1002      1104      1143     285901       2.000
   67    213186      6376       4376       1002       353      1127     281936       2.000
   68    215864      2678        678       1002       783      1049     262483       2.000
   69    218789      2924        924       1002       716      1048     262019       2.000
   70    220740      1951          0       1002       867       846     211534       2.048
   71    222562      1821          0       1002       933       850     212505       2.227
   72    229623      7060       4833       1002       235       831     207755       2.000
   73    243969     14346      12346       1002       114       823     205946       2.000
   74    252205      8235       6235       1002       266      1095     273908       2.000
   75    263481     11275       9275       1002       166       936     234233       2.000
   76    268408      4927       2927       1002       302       746     186629       2.000
   77    271639      3230       1230       1002       559       903     225923       2.000
   78    274594      2955        955       1002       722      1067     266807       2.000
   79    277095      2500        500       1002       822      1028     257247       2.000
   80    284644      7549       5549       1002       297      1122     280708       2.000
   81    294442      9798       7798       1002       251      1233     308258       2.000
   82    302935      8493       6493       1002       269      1146     286630       2.000
   83    311473      8537       6537       1002       258      1103     275824       2.000
   84    317822      6349       4349       1002       331      1051     262827       2.000
   85    319804      1981          0       1002       846       838     209712       2.018
   86    321248      1443          0       1002      1263       912     228045       2.574
   87    325378      4129       1555       1002       405       836     209238       2.000
   88    327317      1938          0       1002       839       813     203406       2.061
   89    328183       866          0       1002      2210       957     239452       3.195
   90    329032       848          0       1002      2444      1037     259385       4.346
   91    330223      1190          0       1002      1487       885     221335       5.155
   92    331254      1031          0       1002      1587       818     204612       6.124
   93    339208      7954       1829       1002       244       971     242863       2.000
   94    348104      8896       6896       1002       225      1001     250359       2.000
   95    354653      6548       4548       1002       327      1070     267709       2.000
   96    357735      3082       1082       1002       799      1232     308044       2.000
   97    360327      2592        592       1002       915      1186     296743       2.000
   98    362774      2446        446       1002       895      1095     273829       2.000
   99    363465       690          0       1002      2852       985     246352       3.309
New connection was opened
