Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1     13382     13382          0       1002       152      1019     254750       2.000
    2     14811      1428          0       1002      1555      1111     277826       4.000
    3     17611      2800          0       1002       675       945     236436       3.199
    4     19443      1831          0       1002      1221      1119     279808       3.367
    5     26556      7112       3745       1002       324      1154     288654       2.000
    6     28516      1959          0       1002      1037      1016     254082       2.040
    7     31491      2975        935       1002       626       932     233115       2.000
    8     34756      3264       1264       1002       564       921     230404       2.000
    9     35983      1227          0       1002      1270       779     194933       2.773
   10     40303      4319       1546       1002       367       793     198266       2.000
   11     41401      1098          0       1002      1479       812     203169       2.901
   12     46371      4970       2068       1002       324       806     201716       2.000
   13     54083      7711       5711       1002       277      1070     267691       2.000
   14     59640      5556       3556       1002       340       946     236530       2.000
   15     66475      6834       4834       1002       237       811     202998       2.000
   16     73341      6866       4866       1002       270       927     231991       2.000
   17     77903      4562       2562       1002       461      1052     263035       2.000
   18     82827      4924       2924       1002       449      1106     276603       2.000
   19     86308      3481       1481       1002       639      1113     278375       2.000
   20     89057      2749        749       1002       889      1222     305651       2.000
   21     91577      2519        519       1002       909      1145     286426       2.000
   22     97380      5803       3803       1002       375      1090     272598       2.000
   23     99800      2419        419       1002       831      1006     251612       2.000
   24    101836      2036         36       1002       835       850     212723       2.000
   25    104158      2321        321       1002       790       917     229343       2.000
   26    108197      4039       2039       1002       397       801     200468       2.000
   27    115263      7065       5065       1002       231       819     204863       2.000
   28    116690      1427          0       1002      1317       940     235088       2.573
   29    118172      1481          0       1002      1426      1056     264170       3.091
   30    119518      1346          0       1002      1303       877     219390       3.745
   31    120688      1169          0       1002      1471       860     215151       4.575
   32    123790      3101          0       1002       662      1028     257050       3.473
   33    124641       851          0       1002      2431      1034     258720       4.622
   34    125959      1318          0       1002      1648      1086     271582       5.304
   35    133635      7675       2371       1002       320      1229     307361       2.000
   36    137295      3660       1660       1002       656      1200     300176       2.000
   37    139096      1800          0       1002      1165      1049     262322       2.199
   38    149937     10841       8642       1002       176       954     238656       2.000
   39    154545      4607       2607       1002       400       922     230537       2.000
   40    160131      5585       3585       1002       323       903     225791       2.000
   41    162080      1949          0       1002       864       842     210560       2.051
   42    175123     13042      10992       1002       118       773     193322       2.000
   43    188945     13821      11821       1002       126       871     217898       2.000
   44    199464     10518       8518       1002       211      1112     278194       2.000
   45    213996     14531      12531       1002       120       877     219280       2.000
   46    217943      3947       1947       1002       435       860     215102       2.000
   47    227941      9998       7998       1002       201      1007     251815       2.000
   48    233057      5115       3115       1002       398      1019     254855       2.000
   49    235541      2483        483       1002       909      1129     282290       2.000
   50    237265      1724          0       1002      1421      1226     306522       2.275
   51    238964      1698          0       1002      1348      1145     286359       2.577
   52    239773       809          0       1002      2688      1087     271950       3.767
   53    241179      1405          0       1002      1442      1014     253536       4.362
   54    241683       504          0       1002      4093      1032     258063       5.857
   55    248756      7072       1215       1002       245       866     216653       2.000
   56    250620      1863          0       1002       903       841     210472       2.136
   57    251932      1311          0       1002      1232       808     202110       2.824
   58    253787      1855          0       1002       855       793     198453       2.969
   59    260912      7124       4155       1002       330      1178     294537       2.000
   60    263281      2369        369       1002       788       933     233429       2.000
   61    269594      6313       4313       1002       233       738     184579       2.000
   62    275223      5628       3628       1002       324       913     228462       2.000
   63    283546      8322       6322       1002       259      1078     269699       2.000
   64    290334      6787       4787       1002       300      1018     254745       2.000
   65    299092      8758       6758       1002       271      1187     296877       2.000
   66    301276      2184        184       1002      1047      1143     285901       2.000
   67    307870      6594       4594       1002       342      1127     281936       2.000
   68    309709      1838          0       1002      1142      1049     262483       2.161
   69    310768      1058          0       1002      1980      1048     262019       3.103
   70    311232       464          0       1002      3642       846     211534       4.638
   71    312203       970          0       1002      1751       850     212505       5.668
   72    312602       399          0       1002      4162       831     207755       7.268
   73    313191       588          0       1002      2798       823     205946       8.680
   74    313356       164          0       1002     13280      1095     273908      10.515
   75    314874      1518          0       4002      5756      4369    1092260      10.996
   76    318017      3142          0       4002      2006      3152     788079       9.854
   77    319321      1304          0       4002      5767      3761     940356      10.550
   78    321935      2614          0       4002      3726      4870    1217666       9.936
