Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      1986      1986          0       1002      1026      1019     254750       2.000
    2      3331      1345          0       1002      1652      1111     277826       4.000
    3      4338      1007          0       1002      1877       945     236436       4.993
    4      5310       971          0       1002      2303      1119     279808       6.021
    5      6190       879          0       1002      2624      1154     288654       7.141
    6      7748      1557          0       1002      1304      1016     254082       7.583
    7      8435       687          0       1002      2712       932     233115       8.896
    8      9663      1227          0       1002      1501       921     230404       9.668
    9     10658       994          0       1002      1568       779     194933      10.674
   10     11532       874          0       1002      1813       793     198266      11.799
   11     15620      4087          0       1002       397       812     203169       9.711
   12     18526      2906          0       1002       555       806     201716       8.805
   13     19662      1135          0       1002      1886      1070     267691       9.670
   14     19819       157          0       1002     11984       946     236530      11.512
   15     28790      8970          0       4002       747      3351     837906       4.541
   16     30291      1501          0       1002      1236       927     231991       5.040
   17     35616      5324        284       1002       395      1052     263035       2.000
   18     42341      6724       4724       1002       329      1106     276603       2.000
   19     46580      4239       2239       1002       525      1113     278375       2.000
   20     52314      5733       3733       1002       426      1222     305651       2.000
   21     55193      2879        879       1002       795      1145     286426       2.000
   22     57063      1870          0       1002      1166      1090     272598       2.130
   23     58672      1609          0       1002      1250      1006     251612       2.521
   24     60111      1438          0       1002      1182       850     212723       3.082
   25     61609      1497          0       1002      1225       917     229343       3.584
   26     63055      1445          0       1002      1109       801     200468       4.138
   27     67002      3947          0       1002       415       819     204863       2.191
   28     70393      3390       1200       1002       554       940     235088       2.000
   29     72654      2260        260       1002       934      1056     264170       2.000
   30     76035      3381       1381       1002       519       877     219390       2.000
   31     80587      4551       2551       1002       378       860     215151       2.000
   32     89528      8940       6940       1002       229      1028     257050       2.000
   33     92200      2672        672       1002       774      1034     258720       2.000
   34     93983      1783          0       1002      1217      1086     271582       2.216
   35     95109      1125          0       1002      2185      1229     307361       3.091
   36     95899       790          0       1002      3039      1200     300176       4.301
   37     96271       372          0       1002      5640      1049     262322       5.929
   38     97334      1063          0       1002      1795       954     238656       6.865
   39     98439      1104          0       1002      1670       922     230537       7.761
   40     98970       531          0       1002      3400       903     225791       9.230
   41     99693       723          0       1002      2329       842     210560      10.507
   42    100633       940          0       1002      1644       773     193322      11.566
   43    101368       734          0       1002      2373       871     217898      12.832
   44    102505      1137          0       1002      1956      1112     278194      13.695
   45    107248      4742          0       1002       369       877     219280      10.952
   46    110717      3469          0       1002       495       860     215102       9.482
   47    114022      3305          0       1002       609      1007     251815       8.177
   48    117738      3715          0       1002       548      1019     254855       6.462
   49    125176      7438        975       1002       303      1129     282290       2.000
   50    127952      2776        776       1002       883      1226     306522       2.000
   51    133780      5828       3828       1002       393      1145     286359       2.000
   52    135957      2177        177       1002       999      1087     271950       2.000
   53    137012      1055          0       1002      1921      1014     253536       2.945
   54    138094      1081          0       1002      1909      1032     258063       3.863
   55    138821       727          0       1002      2382       866     216653       5.136
   56    139344       523          0       1002      3217       841     210472       6.613
   57    140062       717          0       1002      2253       808     202110       7.895
   58    140505       443          0       1002      3582       793     198453       9.452
   59    140997       492          0       1002      4788      1178     294537      10.960
   60    141348       350          0       1002      5326       933     233429      12.609
   61    141721       373          0       1002      3957       738     184579      14.236
   62    142027       306          0       1002      5965       913     228462      15.930
   63    178607     36579      20649       4002       260      4766    1191548       2.000
   64    182755      4148       2148       1002       491      1018     254745       2.000
   65    185066      2310        310       1002      1027      1187     296877       2.000
   66    193920      8853       6853       1002       258      1143     285901       2.000
   67    201218      7298       5298       1002       309      1127     281936       2.000
   68    204590      3371       1371       1002       622      1049     262483       2.000
   69    207568      2977        977       1002       703      1048     262019       2.000
   70    212485      4917       2917       1002       344       846     211534       2.000
   71    214427      1941          0       1002       875       850     212505       2.058
   72    216493      2065          7       1002       804       831     207755       2.000
