Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      2742      2742          0       1002       743      1019     254750       2.000
    2      4903      2161          0       1002      1028      1111     277826       4.000
    3      6526      1622          0       1002      1165       945     236436       4.378
    4      9253      2726          0       1002       820      1119     279808       3.651
    5     10872      1619          0       1002      1426      1154     288654       4.031
    6     17006      6134       2102       1002       331      1016     254082       2.000
    7     19209      2202        202       1002       846       932     233115       2.000
    8     23062      3853       1853       1002       478       921     230404       2.000
    9     23826       763          0       1002      2042       779     194933       3.236
   10     25365      1538          0       1002      1030       793     198266       3.697
   11     26150       785          0       1002      2070       812     203169       4.912
   12     26920       770          0       1002      2095       806     201716       6.142
   13     28039      1119          0       1002      1913      1070     267691       7.023
   14     28830       790          0       1002      2392       946     236530       8.232
   15     29265       435          0       1002      3733       811     202998       9.797
   16     33650      4384          0       1002       423       927     231991       7.412
   17     35443      1793          0       1002      1173      1052     263035       7.619
   18     37451      2007          0       1002      1102      1106     276603       7.612
   19     41920      4469          0       1002       498      1113     278375       5.142
   20     44343      2423          0       1002      1009      1222     305651       4.719
   21     47572      3228          0       1002       709      1145     286426       3.490
   22     49509      1937          0       1002      1125      1090     272598       3.553
   23     61020     11510       7957       1002       174      1006     251612       2.000
   24     68662      7642       5642       1002       222       850     212723       2.000
   25     71268      2605        605       1002       704       917     229343       2.000
   26     72700      1432          0       1002      1119       801     200468       2.568
   27     74102      1402          0       1002      1168       819     204863       3.166
   28     76038      1935          0       1002       971       940     235088       3.230
   29     77266      1227          0       1002      1721      1056     264170       4.002
   30     78241       975          0       1002      1799       877     219390       5.027
   31     90738     12497       7470       1002       137       860     215151       2.000
   32     96794      6055       4055       1002       339      1028     257050       2.000
   33     99615      2821        821       1002       733      1034     258720       2.000
   34    103371      3755       1755       1002       578      1086     271582       2.000
   35    106518      3146       1146       1002       781      1229     307361       2.000
   36    108674      2155        155       1002      1113      1200     300176       2.000
   37    110368      1694          0       1002      1238      1049     262322       2.306
   38    113869      3501       1195       1002       545       954     238656       2.000
   39    118084      4214       2214       1002       437       922     230537       2.000
   40    119996      1912          0       1002       944       903     225791       2.088
   41    125606      5609       3521       1002       300       842     210560       2.000
   42    132953      7346       5346       1002       210       773     193322       2.000
   43    143937     10984       8984       1002       158       871     217898       2.000
   44    154842     10904       8904       1002       204      1112     278194       2.000
   45    159193      4351       2351       1002       403       877     219280       2.000
   46    167232      8038       6038       1002       214       860     215102       2.000
   47    170135      2902        902       1002       693      1007     251815       2.000
   48    171650      1515          0       1002      1345      1019     254855       2.484
   49    172800      1149          0       1002      1963      1129     282290       3.335
   50    173532       731          0       1002      3351      1226     306522       4.603
   51    174040       508          0       1002      4505      1145     286359       6.094
   52    174480       439          0       1002      4945      1087     271950       7.655
   53    174881       400          0       1002      5063      1014     253536       9.254
   54    175469       588          0       1002      3510      1032     258063      10.666
   55    176034       565          0       1002      3064       866     216653      12.100
   56    181979      5944          0       1002       283       841     210472       8.156
   57    187349      5369          0       1002       301       808     202110       4.786
   58    189074      1725          0       1002       920       793     198453       5.061
   59    196779      7705       2644       1002       305      1178     294537       2.000
   60    198512      1733          0       1002      1077       933     233429       2.267
   61    199683      1171          0       1002      1260       738     184579       3.096
   62    201523      1839          0       1002       993       913     228462       3.256
   63    203072      1548          0       1002      1392      1078     269699       3.707
   64    203128        56          0       1002     36287      1018     254745       5.651
   65    210022      6894       1242       6002      1983      6836    1709041       2.000
   66    258665     48643      46643       6002       277      6750    1687503       2.000
   67    271226     12560      10560       4002       700      4402    1100525       2.000
   68    272050       824          0       1002      2548      1049     262483       3.176
   69    273001       951          0       1002      2203      1048     262019       4.225
   70    273580       579          0       1002      2922       846     211534       5.645
   71    275148      1567          0       1002      1084       850     212505       6.077
   72    275950       801          0       1002      2072       831     207755       7.276
   73    276457       506          0       1002      3254       823     205946       8.769
   74    277048       591          0       1002      3704      1095     273908      10.178
   75    277799       751          0       1002      2494       936     234233      11.427
   76    278243       443          0       1002      3362       746     186629      12.983
   77    279083       839          0       1002      2153       903     225923      14.143
   78    280152      1069          0       1002      1996      1067     266807      15.074
   79    281198      1046          0       1002      1966      1028     257247      16.028
   80    284220      3021          0       1002       743      1122     280708      15.006
   81    290236      6015          0       1002       409      1233     308258      10.990
   82    292858      2621          0       1002       874      1146     286630      10.368
   83    301181      8323          0       1002       265      1103     275824       4.045
   84    305820      4638        593       1002       453      1051     262827       2.000
   85    309070      3250       1250       1002       516       838     209712       2.000
   86    311708      2637        637       1002       691       912     228045       2.000
   87    312998      1290          0       1002      1297       836     209238       2.710
   88    314834      1835          0       1002       886       813     203406       2.874
   89    321824      6989       4115       1002       274       957     239452       2.000
   90    329348      7524       5524       1002       275      1037     259385       2.000
   91    330688      1340          0       1002      1321       885     221335       2.660
   92    334561      3873       1213       1002       422       818     204612       2.000
   93    335861      1300          0       1002      1494       971     242863       2.700
   94    337074      1212          0       1002      1651      1001     250359       3.487
   95    338238      1164          0       1002      1839      1070     267709       4.323
