Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1       292       292          0       1002      6965      1019     254750       2.000
    2       508       216          0       1002     10272      1111     277826       4.000
    3       655       147          0       1002     12865       945     236436       5.853
    4      1541       885          0       6002     13883      6145    1536449       6.968
    5      2411       870          0       6002     13434      5844    1461094       8.098
    6      3452      1041          0       6002     11033      5745    1436383       9.056
    7      4387       934          0       6002     11899      5562    1390576      10.121
    8      5219       831          0       6002     13513      5619    1404877      11.290
    9      6178       958          0       6002      9954      4771    1192822      12.331
   10      7098       919          0       6002     11256      5177    1294365      13.411
   11      8085       987          0       6002     11244      5549    1387313      14.424
   12      9330      1245          0       6002      9328      5807    1451806      15.179
   13     11171      1841          0       6002      7450      6860    1715028      15.337
   14     13233      2062          0       6002      6648      6854    1713706      15.275
   15     14533      1299          0       6002      7724      5019    1254783      15.976
   16     15462       929          0       6002     13654      6344    1586189      17.046
   17     17338      1875          0       6002      7489      7023    1755827      17.171
   18     19198      1860          0       6002      6992      6503    1625893      17.311
   19     20394      1195          0       6002     11350      6785    1696486      18.115
   20     21382       987          0       6002     13298      6568    1642011      19.127
   21     23803      2421          0       6002      5177      6268    1567136      18.705
   22     24677       873          0       6002     13260      5793    1448456      19.832
   23     25928      1250          0       6002      8955      5598    1399698      20.581
   24     28849      2921          0       6002      3050      4456    1114055      19.659
   25     30310      1460          0       6002      7371      5382    1345748      20.199
   26     44600     14290          0       6002       705      5039    1259781       7.909
   27     47356      2756          0       1002       594       819     204863       7.153
   28     49827      2471          0       1002       761       940     235088       6.681
   29     52388      2560          0       1002       825      1056     264170       6.121
   30     53408      1019          0       1002      1721       877     219390       7.101
   31     54634      1226          0       1002      1403       860     215151       7.875
   32     56176      1542          0       1002      1333      1028     257050       8.333
   33     59344      3167          0       1002       653      1034     258720       7.165
   34     61293      1949          0       1002      1114      1086     271582       7.216
   35     62470      1176          0       1002      2090      1229     307361       8.039
   36     63943      1472          0       1002      1630      1200     300176       8.566
   37     67228      3285          0       1002       638      1049     262322       7.281
   38     68343      1114          0       1002      1712       954     238656       8.166
   39     69430      1086          0       1002      1697       922     230537       9.079
   40     70470      1040          0       1002      1735       903     225791      10.039
   41     71305       834          0       1002      2018       842     210560      11.204
