Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      8677      8677          0       1002       234      1019     254750       2.000
    2     13227      4550          0       1002       488      1111     277826       4.000
    3     21818      8590       4590       1002       220       945     236436       2.000
    4     25707      3889       1889       1002       575      1119     279808       2.000
    5     31037      5329       3329       1002       433      1154     288654       2.000
    6     33114      2077         77       1002       978      1016     254082       2.000
    7     40232      7117       5117       1002       262       932     233115       2.000
    8     42910      2678        678       1002       688       921     230404       2.000
    9     47994      5083       3083       1002       306       779     194933       2.000
   10     51909      3915       1915       1002       405       793     198266       2.000
   11     54316      2406        406       1002       675       812     203169       2.000
   12     60807      6490       4490       1002       248       806     201716       2.000
   13     70574      9767       7767       1002       219      1070     267691       2.000
   14     75339      4764       2764       1002       397       946     236530       2.000
   15     83524      8185       6185       1002       198       811     202998       2.000
   16     98501     14976      12976       1002       123       927     231991       2.000
   17    106911      8410       6410       1002       250      1052     263035       2.000
   18    124231     17320      15320       1002       127      1106     276603       2.000
   19    139314     15082      13082       1002       147      1113     278375       2.000
   20    144471      5157       3157       1002       474      1222     305651       2.000
   21    150205      5733       3733       1002       399      1145     286426       2.000
   22    158265      8060       6060       1002       270      1090     272598       2.000
   23    177896     19630      17630       1002       102      1006     251612       2.000
   24    191403     13507      11507       1002       125       850     212723       2.000
   25    193887      2483        483       1002       738       917     229343       2.000
   26    195673      1785          0       1002       898       801     200468       2.215
   27    197501      1828          0       1002       896       819     204863       2.386
   28    198696      1195          0       1002      1573       940     235088       3.191
   29    199320       623          0       1002      3390      1056     264170       4.568
   30    199831       510          0       1002      3434       877     219390       6.057
   31    207290      7459       1402       1002       230       860     215151       2.000
   32    210146      2856        856       1002       719      1028     257050       2.000
   33    212126      1980          0       1002      1045      1034     258720       2.020
   34    214548      2421        401       1002       897      1086     271582       2.000
   35    216409      1861          0       1002      1320      1229     307361       2.138
   36    218233      1823          0       1002      1316      1200     300176       2.315
   37    219055       822          0       1002      2552      1049     262322       3.492
   38    219626       571          0       1002      3343       954     238656       4.921
   39    220513       886          0       1002      2079       922     230537       6.034
   40    220882       368          0       1002      4902       903     225791       7.666
   41    221217       335          0       1002      5023       842     210560       9.331
   42    221572       354          0       1002      4364       773     193322      10.976
   43    222200       627          0       1002      2775       871     217898      12.348
   44    222682       482          0       1002      4615      1112     278194      13.866
   45    223824      1142          0       1002      1535       877     219280      14.724
   46    224421       597          0       1002      2881       860     215102      16.126
   47    225689      1267          0       1002      1588      1007     251815      16.859
   48    226179       489          0       1002      4166      1019     254855      18.369
   49    226619       440          0       1002      5127      1129     282290      19.929
   50    240035     13416          0       1002       182      1226     306522       8.513
   51    250137     10102       1589       1002       226      1145     286359       2.000
   52    255258      5120       3120       1002       424      1087     271950       2.000
   53    260785      5527       3527       1002       366      1014     253536       2.000
   54    268559      7773       5773       1002       265      1032     258063       2.000
   55    273858      5299       3299       1002       327       866     216653       2.000
   56    278947      5088       3088       1002       330       841     210472       2.000
   57    280810      1863          0       1002       867       808     202110       2.136
   58    282479      1668          0       1002       951       793     198453       2.468
   59    287526      5047       2579       1002       466      1178     294537       2.000
   60    303441     15915      13915       1002       117       933     233429       2.000
   61    310724      7282       5282       1002       202       738     184579       2.000
   62    315454      4729       2729       1002       386       913     228462       2.000
   63    320429      4975       2975       1002       433      1078     269699       2.000
   64    324973      4544       2544       1002       448      1018     254745       2.000
   65    336757     11784       9784       1002       201      1187     296877       2.000
   66    347656     10898       8898       1002       209      1143     285901       2.000
   67    358779     11122       9122       1002       202      1127     281936       2.000
   68    362115      3335       1335       1002       629      1049     262483       2.000
   69    364465      2350        350       1002       891      1048     262019       2.000
   70    365626      1160          0       1002      1458       846     211534       2.840
   71    366944      1318          0       1002      1289       850     212505       3.521
   72    367780       835          0       1002      1988       831     207755       4.686
   73    368433       652          0       1002      2523       823     205946       6.033
   74    369059       625          0       1002      3501      1095     273908       7.407
   75    369816       757          0       1002      2475       936     234233       8.650
   76    370782       966          0       1002      1545       746     186629       9.684
   77    371286       504          0       1002      3581       903     225923      11.179
   78    372250       963          0       1002      2216      1067     266807      12.216
