Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      1817      1817          0       1002      1121      1019     254750       2.000
    2      3090      1272          0       1002      1746      1111     277826       4.000
    3      7277      4187        187       1002       451       945     236436       2.000
    4      8410      1133          0       1002      1975      1119     279808       2.867
    5     15352      6941       4074       1002       332      1154     288654       2.000
    6     19514      4162       2162       1002       488      1016     254082       2.000
    7     24086      4571       2571       1002       407       932     233115       2.000
    8     26796      2710        710       1002       680       921     230404       2.000
    9     31518      4721       2721       1002       330       779     194933       2.000
   10     35668      4150       2150       1002       382       793     198266       2.000
   11     37655      1986          0       1002       818       812     203169       2.013
   12     39208      1552          0       1002      1039       806     201716       2.461
   13     42191      2983        522       1002       717      1070     267691       2.000
   14     45542      3350       1350       1002       564       946     236530       2.000
   15     48104      2562        562       1002       633       811     202998       2.000
   16     49005       900          0       1002      2060       927     231991       3.099
   17     51038      2032          0       1002      1035      1052     263035       3.067
   18     56047      5008       1942       1002       441      1106     276603       2.000
   19     64940      8893       6893       1002       250      1113     278375       2.000
   20     73839      8898       6898       1002       274      1222     305651       2.000
   21     84709     10870       8870       1002       210      1145     286426       2.000
   22     88642      3932       1932       1002       554      1090     272598       2.000
   23     89580       938          0       1002      2145      1006     251612       3.062
   24     97005      7424       4363       1002       229       850     212723       2.000
   25    108102     11096       9096       1002       165       917     229343       2.000
   26    114193      6091       4091       1002       263       801     200468       2.000
   27    117449      3256       1256       1002       503       819     204863       2.000
   28    119569      2119        119       1002       887       940     235088       2.000
   29    121972      2403        403       1002       879      1056     264170       2.000
   30    123164      1191          0       1002      1472       877     219390       2.808
   31    124860      1696          0       1002      1014       860     215151       3.112
   32    129041      4180       1068       1002       491      1028     257050       2.000
   33    131354      2312        312       1002       894      1034     258720       2.000
   34    132654      1300          0       1002      1670      1086     271582       2.700
   35    147588     14933      12233       1002       164      1229     307361       2.000
   36    153808      6220       4220       1002       386      1200     300176       2.000
   37    156871      3062       1062       1002       685      1049     262322       2.000
   38    158287      1416          0       1002      1348       954     238656       2.584
   39    169295     11007       8424       1002       167       922     230537       2.000
   40    176849      7554       5554       1002       239       903     225791       2.000
   41    182176      5327       3327       1002       316       842     210560       2.000
   42    185542      3365       1365       1002       459       773     193322       2.000
   43    190118      4576       2576       1002       380       871     217898       2.000
   44    197818      7700       5700       1002       289      1112     278194       2.000
   45    199841      2022         22       1002       867       877     219280       2.000
   46    204630      4789       2789       1002       359       860     215102       2.000
   47    213019      8388       6388       1002       240      1007     251815       2.000
   48    227568     14548      12548       1002       140      1019     254855       2.000
   49    235171      7603       5603       1002       296      1129     282290       2.000
   50    240045      4873       2873       1002       503      1226     306522       2.000
   51    242118      2073         73       1002      1105      1145     286359       2.000
   52    254059     11940       9940       1002       182      1087     271950       2.000
   53    260937      6878       4878       1002       294      1014     253536       2.000
   54    266612      5674       3674       1002       363      1032     258063       2.000
   55    272651      6038       4038       1002       287       866     216653       2.000
   56    275514      2862        862       1002       588       841     210472       2.000
   57    284462      8948       6948       1002       180       808     202110       2.000
   58    286706      2243        243       1002       707       793     198453       2.000
   59    290359      3653       1653       1002       644      1178     294537       2.000
   60    292103      1744          0       1002      1070       933     233429       2.256
   61    293101       997          0       1002      1480       738     184579       3.258
   62    295091      1990          0       1002       918       913     228462       3.268
   63    296920      1828          0       1002      1180      1078     269699       3.440
   64    298801      1881          0       1002      1083      1018     254745       3.558
   65    311101     12299       8741       1002       193      1187     296877       2.000
   66    314338      3236       1236       1002       706      1143     285901       2.000
   67    318063      3725       1725       1002       605      1127     281936       2.000
   68    322558      4495       2495       1002       467      1049     262483       2.000
   69    324855      2296        296       1002       912      1048     262019       2.000
   70    326693      1837          0       1002       920       846     211534       2.162
   71    328100      1407          0       1002      1207       850     212505       2.754
   72    329443      1342          0       1002      1237       831     207755       3.412
   73    330511      1068          0       1002      1542       823     205946       4.343
   74    332048      1536          0       1002      1426      1095     273908       4.807
   75    333001       952          0       1002      1967       936     234233       5.854
   76    333501       500          0       1002      2985       746     186629       7.354
   77    333761       259          0       1002      6951       903     225923       9.094
   78    334766      1005          0       1002      2122      1067     266807      10.088
   79    335572       806          0       1002      2553      1028     257247      11.282
   80    336426       853          0       1002      2630      1122     280708      12.429
   81    337121       694          0       1002      3550      1233     308258      13.734
   82    337626       505          0       1002      4536      1146     286630      15.229
   83    338246       619          0       1002      3559      1103     275824      16.609
   84    338695       449          0       1002      4680      1051     262827      18.160
   85    339184       488          0       1002      3434       838     209712      19.671
   86    339770       585          0       1002      3114       912     228045      21.085
   87    340154       384          0       1002      4350       836     209238      22.701
   88    340568       414          0       1002      3929       813     203406      24.286
   89    341044       476          0       1002      4023       957     239452      25.810
   90    341304       259          0       1002      7987      1037     259385      27.551
   91    345836      4531          0       4002      1642      3720     930102      25.019
   92    346515       679          0       1002      2409       818     204612      26.340
   93    346877       361          0       1002      5372       971     242863      27.978
   94    349812      2935          0       1002       682      1001     250359      27.043
   95    350921      1108          0       1002      1931      1070     267709      27.934
   96    351674       753          0       1002      3271      1232     308044      29.181
   97    354886      3212          0       1002       739      1186     296743      27.969
   98    362745      7858          0       1002       278      1095     273829      22.110
   99    367345      4599          0       1002       428       985     246352      19.510
New connection was opened
  100    374576      7230          0       1002       256       927     231867      14.280
  101    379962      5386          0       1002       354       954     238675      10.893
  102    381502      1540          0       1002      1099       847     211800      11.353
  103    383900      2397          0       1002       650       779     194798      10.955
  104    392427      8527          0       1002       208       889     222463       4.428
  105    395993      3565          0       1002       618      1102     275691       2.862
  106    400396      4403       1540       1002       393       865     216312       2.000
  107    408303      7907       5907       1002       211       837     209296       2.000
  108    411671      3367       1367       1002       568       956     239197       2.000
  109    414285      2614        614       1002       769      1005     251312       2.000
  110    415802      1517          0       1002      1381      1047     261945       2.483
  111    416772       969          0       1002      2555      1238     309607       3.514
  112    421475      4703       1190       1002       493      1159     289996       2.000
  113    422766      1290          0       1002      1705      1100     275122       2.709
  114    423395       628          0       1002      3319      1043     260948       4.080
  115    427193      3798          0       1002       551      1047     261834       2.282
  116    428248      1054          0       1002      1663       876     219248       3.228
  117    429458      1210          0       1002      1386       839     209811       4.018
  118    430925      1466          0       1002      1116       818     204739       4.551
  119    431610       684          0       1002      2334       799     199847       5.866
  120    433201      1591          0       1002      1471      1170     292674       6.274
  121    434584      1382          0       1002      1319       912     228003       6.892
  122    435721      1137          0       1002      1330       756     189170       7.755
  123    436822      1100          0       1002      1584       871     217963       8.654
  124    438073      1251          0       1002      1683      1053     263410       9.402
  125    439283      1209          0       1002      1719      1040     260016      10.192
  126    440540      1257          0       1002      1891      1189     297258      10.935
  127    441821      1280          0       1002      1749      1120     280031      11.655
  128    443405      1583          0       1002      1464      1160     290002      12.071
  129    444829      1424          0       1002      1493      1063     265919      12.647
  130    445989      1159          0       1002      1912      1108     277200      13.487
  131    446965       976          0       1002      1834       895     223847      14.510
  132    448057      1091          0       1002      1524       832     208034      15.419
  133    448968       911          0       1002      1797       818     204674      16.508
  134    449221       253          0       1002      6485       820     205171      18.255
  135    450370      1148          0       1002      1895      1088     272093      19.106
  136    451239       869          0       1002      2171       944     236114      20.237
  137    451369       129          0       1002     11772       763     190885      22.107
  138    456027      4658          0       4002      1586      3696     924006      19.449
  139    457058      1031          0       1002      2068      1066     266678      20.418
  140    458521      1463          0       1002      1337       978     244617      20.955
  141    459268       746          0       1002      3088      1153     288278      22.208
  142    461243      1974          0       1002      1219      1204     301019      22.233
  143    473256     12013          0       1002       191      1152     288207      12.220
  144    480346      7090          0       1002       316      1123     280760       7.130
  145    483258      2911          0       1002       741      1078     269678       6.218
  146    488215      4957          0       1002       354       878     219667       3.261
  147    490184      1969          0       1002       912       898     224679       3.292
  148    491178       993          0       1002      1630       810     202613       4.298
  149    499658      8479       4181       1002       195       827     206855       2.000
  150    502495      2836        836       1002       676       960     240000       2.000
