Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      2012      2012          0       1002      1012      1019     254750       2.000
    2     14651     12639          0       1002       175      1111     277826       4.000
    3     26692     12040       8040       1002       157       945     236436       2.000
    4     32372      5679       3679       1002       394      1119     279808       2.000
    5     52864     20492      18492       1002       112      1154     288654       2.000
    6     64104     11240       9240       1002       180      1016     254082       2.000
    7     81646     17541      15541       1002       106       932     233115       2.000
    8     97894     16248      14248       1002       113       921     230404       2.000
    9    102695      4801       2801       1002       324       779     194933       2.000
   10    117693     14997      12997       1002       105       793     198266       2.000
   11    119105      1411          0       1002      1151       812     203169       2.588
   12    120292      1187          0       1002      1359       806     201716       3.401
   13    135060     14768      11367       1002       145      1070     267691       2.000
   14    136940      1879          0       1002      1006       946     236530       2.120
   15    142515      5574       3454       1002       291       811     202998       2.000
   16    146585      4070       2070       1002       455       927     231991       2.000
   17    161189     14604      12604       1002       144      1052     263035       2.000
   18    170795      9605       7605       1002       230      1106     276603       2.000
   19    181333     10538       8538       1002       211      1113     278375       2.000
   20    182384      1050          0       1002      2327      1222     305651       2.949
   21    189131      6747       3797       1002       339      1145     286426       2.000
   22    198301      9169       7169       1002       237      1090     272598       2.000
   23    203898      5597       3597       1002       359      1006     251612       2.000
   24    210984      7085       5085       1002       240       850     212723       2.000
   25    224767     13782      11782       1002       133       917     229343       2.000
   26    233792      9025       7025       1002       177       801     200468       2.000
   27    243177      9384       7384       1002       174       819     204863       2.000
   28    249151      5974       3974       1002       314       940     235088       2.000
   29    252605      3453       1453       1002       611      1056     264170       2.000
   30    254702      2096         96       1002       837       877     219390       2.000
   31    256363      1661          0       1002      1036       860     215151       2.339
   32    257683      1320          0       1002      1557      1028     257050       3.019
   33    262767      5083       2064       1002       407      1034     258720       2.000
   34    264292      1525          0       1002      1424      1086     271582       2.475
   35    273424      9132       6657       1002       269      1229     307361       2.000
   36    280479      7054       5054       1002       340      1200     300176       2.000
   37    288450      7971       5971       1002       263      1049     262322       2.000
   38    293026      4575       2575       1002       417       954     238656       2.000
   39    299939      6913       4913       1002       266       922     230537       2.000
   40    302042      2103        103       1002       858       903     225791       2.000
   41    302878       835          0       1002      2015       842     210560       3.164
   42    307069      4191       1026       1002       369       773     193322       2.000
   43    318892     11823       9823       1002       147       871     217898       2.000
   44    320537      1645          0       1002      1352      1112     278194       2.355
   45    321266       728          0       1002      2406       877     219280       3.626
   46    321921       654          0       1002      2629       860     215102       4.971
   47    322476       554          0       1002      3632      1007     251815       6.417
   48    323068       592          0       1002      3442      1019     254855       7.824
   49    323631       562          0       1002      4014      1129     282290       9.262
   50    324028       397          0       1002      6169      1226     306522      10.865
   51    324788       759          0       1002      3015      1145     286359      12.105
   52    325180       392          0       1002      5542      1087     271950      13.712
   53    325405       224          0       1002      9046      1014     253536      15.488
   54    328455      3050          0       4002      2447      3733     933326      14.438
   55    329824      1368          0       4002      4716      3228     807181      15.069
   56    330963      1139          0       4002      5469      3116     779054      15.929
   57    331936       972          0       4002      7095      3450     862636      16.957
   58    353646     21710       4753       4002       301      3267     816945       2.000
   59    362549      8902       6902       1002       264      1178     294537       2.000
   60    366226      3677       1677       1002       507       933     233429       2.000
   61    373152      6925       4925       1002       213       738     184579       2.000
   62    380127      6975       4975       1002       262       913     228462       2.000
   63    382163      2035         35       1002      1059      1078     269699       2.000
   64    383692      1529          0       1002      1332      1018     254745       2.471
   65    384707      1014          0       1002      2340      1187     296877       3.456
   66    385666       959          0       1002      2384      1143     285901       4.497
   67    386868      1201          0       1002      1877      1127     281936       5.295
   68    397165     10296       5001       1002       203      1049     262483       2.000
