Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      1532      1532          0       1002      1330      1019     254750       2.000
    2      2466       934          0       1002      2378      1111     277826       4.000
    3      3550      1083          0       1002      1745       945     236436       4.916
    4      5037      1486          0       1002      1505      1119     279808       5.430
    5      6168      1131          0       1002      2040      1154     288654       6.298
    6      6933       764          0       1002      2658      1016     254082       7.533
    7      7612       678          0       1002      2747       932     233115       8.855
    8     11207      3595          0       1002       512       921     230404       7.259
    9     11906       698          0       1002      2231       779     194933       8.560
   10     12611       705          0       1002      2249       793     198266       9.855
   11     13477       866          0       1002      1876       812     203169      10.989
   12     16154      2676          0       1002       602       806     201716      10.313
   13     20620      4466          0       1002       479      1070     267691       7.846
   14     21573       952          0       1002      1986       946     236530       8.893
   15     22338       765          0       1002      2122       811     202998      10.128
   16     23585      1246          0       1002      1488       927     231991      10.882
   17     24233       647          0       1002      3248      1052     263035      12.234
   18     27776      3543          0       1002       624      1106     276603      10.691
   19     31149      3373          0       1002       660      1113     278375       9.317
   20     35819      4669          0       1002       523      1222     305651       6.647
   21     37623      1803          0       1002      1270      1145     286426       6.844
   22     40954      3331          0       1002       654      1090     272598       5.513
   23     43507      2553          0       1002       788      1006     251612       4.959
   24     45001      1493          0       1002      1139       850     212723       5.466
   25     46918      1917          0       1002       956       917     229343       5.549
   26     50422      3503          0       1002       457       801     200468       4.045
   27     52513      2091          0       1002       783       819     204863       3.954
   28     53367       853          0       1002      2203       940     235088       5.100
   29     57896      4529          0       1002       466      1056     264170       2.571
   30     59413      1517          0       1002      1156       877     219390       3.053
   31     60432      1018          0       1002      1690       860     215151       4.035
   32     62188      1755          0       1002      1171      1028     257050       4.279
   33     65126      2938          0       1002       704      1034     258720       3.341
   34     68607      3481        140       1002       624      1086     271582       2.000
   35     73366      4758       2758       1002       516      1229     307361       2.000
   36     79967      6601       4601       1002       363      1200     300176       2.000
   37     84877      4910       2910       1002       427      1049     262322       2.000
   38     89054      4176       2176       1002       457       954     238656       2.000
   39     93353      4298       2298       1002       429       922     230537       2.000
   40     96100      2746        746       1002       657       903     225791       2.000
   41    101079      4979       2979       1002       338       842     210560       2.000
   42    104775      3696       1696       1002       418       773     193322       2.000
   43    115126     10350       8350       1002       168       871     217898       2.000
   44    129882     14756      12756       1002       150      1112     278194       2.000
   45    137775      7892       5892       1002       222       877     219280       2.000
   46    146739      8964       6964       1002       191       860     215102       2.000
   47    150976      4237       2237       1002       475      1007     251815       2.000
   48    153456      2480        480       1002       822      1019     254855       2.000
   49    160921      7464       5464       1002       302      1129     282290       2.000
   50    177331     16410      14410       1002       149      1226     306522       2.000
   51    190334     13003      11003       1002       176      1145     286359       2.000
   52    203280     12945      10945       1002       168      1087     271950       2.000
   53    217431     14151      12151       1002       143      1014     253536       2.000
