Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      2985      2985          0       1002       682      1019     254750       2.000
    2      4140      1155          0       1002      1922      1111     277826       4.000
    3      5753      1612          0       1002      1173       945     236436       4.388
    4     27097     21344      16956       1002       104      1119     279808       2.000
    5     42573     15475      13475       1002       149      1154     288654       2.000
    6     56919     14346      12346       1002       141      1016     254082       2.000
    7     69904     12984      10984       1002       143       932     233115       2.000
    8     73701      3796       1796       1002       485       921     230404       2.000
    9     81022      7321       5321       1002       213       779     194933       2.000
   10     88113      7091       5091       1002       223       793     198266       2.000
   11    100816     12702      10702       1002       127       812     203169       2.000
   12    119613     18797      16797       1002        85       806     201716       2.000
   13    126772      7159       5159       1002       299      1070     267691       2.000
   14    129850      3077       1077       1002       614       946     236530       2.000
   15    132584      2733        733       1002       594       811     202998       2.000
   16    135079      2495        495       1002       743       927     231991       2.000
   17    138473      3393       1393       1002       620      1052     263035       2.000
   18    147600      9126       7126       1002       242      1106     276603       2.000
   19    162068     14468      12468       1002       153      1113     278375       2.000
   20    168065      5996       3996       1002       407      1222     305651       2.000
   21    175217      7152       5152       1002       320      1145     286426       2.000
   22    179744      4527       2527       1002       481      1090     272598       2.000
   23    189957     10212       8212       1002       197      1006     251612       2.000
   24    199049      9091       7091       1002       187       850     212723       2.000
   25    209742     10693       8693       1002       171       917     229343       2.000
   26    214272      4530       2530       1002       354       801     200468       2.000
   27    217738      3465       1465       1002       472       819     204863       2.000
   28    220013      2274        274       1002       826       940     235088       2.000
   29    225976      5963       3963       1002       354      1056     264170       2.000
   30    239438     13461      11461       1002       130       877     219390       2.000
   31    245856      6418       4418       1002       268       860     215151       2.000
   32    258533     12676      10676       1002       162      1028     257050       2.000
   33    270224     11690       9690       1002       177      1034     258720       2.000
   34    282732     12508      10508       1002       173      1086     271582       2.000
   35    286780      4047       2047       1002       607      1229     307361       2.000
   36    299018     12238      10238       1002       196      1200     300176       2.000
   37    304566      5547       3547       1002       378      1049     262322       2.000
   38    306827      2260        260       1002       844       954     238656       2.000
   39    310195      3368       1368       1002       547       922     230537       2.000
   40    312193      1998          0       1002       904       903     225791       2.002
   41    318255      6061       4059       1002       277       842     210560       2.000
   42    327015      8760       6760       1002       176       773     193322       2.000
   43    330438      3422       1422       1002       509       871     217898       2.000
   44    332453      2015         15       1002      1104      1112     278194       2.000
   45    335060      2607        607       1002       672       877     219280       2.000
   46    336507      1446          0       1002      1189       860     215102       2.553
   47    338636      2129          0       1002       946      1007     251815       2.424
   48    340019      1383          0       1002      1474      1019     254855       3.041
   49    344196      4176       1135       1002       540      1129     282290       2.000
