Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      1767      1767          0       1002      1152      1019     254750       2.000
    2      3338      1570          0       1002      1415      1111     277826       4.000
    3      4316       978          0       1002      1934       945     236436       5.022
    4      5218       902          0       1002      2480      1119     279808       6.120
    5     10850      5631          0       1002       410      1154     288654       2.488
    6     12297      1447          0       1002      1404      1016     254082       3.040
    7     18676      6378       3337       1002       292       932     233115       2.000
    8     23463      4787       2787       1002       384       921     230404       2.000
    9     24893      1429          0       1002      1090       779     194933       2.570
   10     29652      4759       2188       1002       333       793     198266       2.000
   11     48531     18878      16878       1002        86       812     203169       2.000
   12     57651      9120       7120       1002       176       806     201716       2.000
   13     61706      4054       2054       1002       528      1070     267691       2.000
   14     74401     12695      10695       1002       149       946     236530       2.000
   15     80283      5881       3881       1002       276       811     202998       2.000
   16     88122      7839       5839       1002       236       927     231991       2.000
   17     91721      3599       1599       1002       584      1052     263035       2.000
   18     96599      4877       2877       1002       453      1106     276603       2.000
   19    123170     26570      24570       1002        83      1113     278375       2.000
   20    144624     21453      19453       1002       113      1222     305651       2.000
   21    151278      6654       4654       1002       344      1145     286426       2.000
   22    157392      6113       4113       1002       356      1090     272598       2.000
   23    159147      1754          0       1002      1147      1006     251612       2.245
   24    161034      1887          0       1002       901       850     212723       2.358
   25    164035      3000        642       1002       611       917     229343       2.000
   26    174965     10929       8929       1002       146       801     200468       2.000
   27    176923      1957          0       1002       837       819     204863       2.042
   28    185856      8933       6891       1002       210       940     235088       2.000
   29    208059     22202      20202       1002        95      1056     264170       2.000
   30    212084      4025       2025       1002       435       877     219390       2.000
   31    214370      2286        286       1002       752       860     215151       2.000
   32    216956      2585        585       1002       795      1028     257050       2.000
   33    225633      8676       6676       1002       238      1034     258720       2.000
   34    233043      7410       5410       1002       293      1086     271582       2.000
   35    236900      3856       1856       1002       637      1229     307361       2.000
   36    257661     20760      18760       1002       115      1200     300176       2.000
   37    264584      6923       4923       1002       303      1049     262322       2.000
   38    277449     12864      10864       1002       148       954     238656       2.000
   39    279759      2310        310       1002       798       922     230537       2.000
   40    281093      1334          0       1002      1353       903     225791       2.666
   41    287212      6118       3452       1002       275       842     210560       2.000
   42    298231     11019       9019       1002       140       773     193322       2.000
   43    305909      7677       5677       1002       227       871     217898       2.000
   44    310453      4544       2544       1002       489      1112     278194       2.000
   45    315295      4841       2841       1002       362       877     219280       2.000
   46    317259      1964          0       1002       875       860     215102       2.035
   47    318935      1676          0       1002      1201      1007     251815       2.359
   48    321265      2330          0       1002       875      1019     254855       2.029
   49    325568      4302       2273       1002       524      1129     282290       2.000
   50    342151     16582      14582       1002       147      1226     306522       2.000
   51    348094      5942       3942       1002       385      1145     286359       2.000
   52    350932      2837        837       1002       766      1087     271950       2.000
   53    352345      1413          0       1002      1434      1014     253536       2.586
   54    355405      3059        473       1002       674      1032     258063       2.000
   55    362826      7421       5421       1002       233       866     216653       2.000
   56    363640       813          0       1002      2068       841     210472       3.186
   57    364821      1181          0       1002      1368       808     202110       4.005
   58    369592      4771        766       1002       332       793     198453       2.000
   59    370933      1340          0       1002      1758      1178     294537       2.660
   60    371680       747          0       1002      2499       933     233429       3.913
   61    374663      2983          0       1002       494       738     184579       2.930
   62    375832      1168          0       1002      1563       913     228462       3.761
   63    379180      3348          0       1002       644      1078     269699       2.412
   64    380107       926          0       1002      2199      1018     254745       3.486
   65    381603      1496          0       1002      1586      1187     296877       3.989
