Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      1792      1792          0       1002      1136      1019     254750       2.000
    2     10455      8662          0       1002       256      1111     277826       4.000
    3     23305     12849       8849       1002       147       945     236436       2.000
    4     31264      7958       5958       1002       281      1119     279808       2.000
    5     37045      5781       3781       1002       399      1154     288654       2.000
    6     52973     15927      13927       1002       127      1016     254082       2.000
    7     68958     15985      13985       1002       116       932     233115       2.000
    8     77498      8539       6539       1002       215       921     230404       2.000
    9     79246      1747          0       1002       892       779     194933       2.252
   10     80174       928          0       1002      1708       793     198266       3.324
   11     81005       830          0       1002      1956       812     203169       4.493
   12     91954     10949       6456       1002       147       806     201716       2.000
   13     94230      2275        275       1002       941      1070     267691       2.000
   14     94873       643          0       1002      2941       946     236530       3.357
   15     95775       901          0       1002      1801       811     202998       4.455
   16    101960      6185       1730       1002       300       927     231991       2.000
   17    102976      1015          0       1002      2071      1052     263035       2.984
   18    103389       413          0       1002      5349      1106     276603       4.571
   19    104313       923          0       1002      2411      1113     278375       5.647
   20    105188       875          0       1002      2792      1222     305651       6.772
   21    105495       306          0       1002      7467      1145     286426       8.465
   22    105985       490          0       1002      4448      1090     272598       9.975
   23    106357       371          0       1002      5422      1006     251612      11.603
   24    109422      3065          0       4002      1971      3021     755435      10.538
   25    110033       610          0       1002      3003       917     229343      11.927
   26    120218     10184          0       1002       157       801     200468       3.743
   27    133215     12996       9254       1002       126       819     204863       2.000
   28    149421     16206      14206       1002       116       940     235088       2.000
   29    161709     12288      10288       1002       171      1056     264170       2.000
   30    166301      4591       2591       1002       382       877     219390       2.000
   31    167780      1478          0       1002      1164       860     215151       2.522
   32    168958      1178          0       1002      1744      1028     257050       3.343
   33    170728      1769          0       1002      1169      1034     258720       3.573
   34    174044      3316          0       1002       655      1086     271582       2.257
   35    178495      4450       2193       1002       552      1229     307361       2.000
   36    190417     11922       9922       1002       201      1200     300176       2.000
   37    194937      4519       2519       1002       464      1049     262322       2.000
   38    196820      1883          0       1002      1013       954     238656       2.116
   39    202377      5556       3439       1002       331       922     230537       2.000
   40    205223      2846        846       1002       634       903     225791       2.000
