Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      2184      2184          0       1002       932      1019     254750       2.000
    2      4014      1830          0       1002      1214      1111     277826       4.000
    3      5476      1461          0       1002      1294       945     236436       4.539
    4      6479      1003          0       1002      2230      1119     279808       5.535
    5      7527      1047          0       1002      2204      1154     288654       6.488
    6      8865      1337          0       1002      1519      1016     254082       7.150
    7     12112      3247          0       1002       574       932     233115       5.903
    8     22882     10770       4867       1002       171       921     230404       2.000
    9     26262      3380       1380       1002       461       779     194933       2.000
   10     28321      2059         59       1002       770       793     198266       2.000
   11     36307      7985       5985       1002       203       812     203169       2.000
   12     38168      1861          0       1002       866       806     201716       2.138
   13     40170      2002          0       1002      1069      1070     267691       2.136
   14     41726      1555          0       1002      1216       946     236530       2.581
   15     44940      3213        633       1002       505       811     202998       2.000
   16     49620      4680       2680       1002       396       927     231991       2.000
   17     50973      1352          0       1002      1555      1052     263035       2.647
   18     52201      1228          0       1002      1800      1106     276603       3.418
   19     52965       763          0       1002      2917      1113     278375       4.655
   20     57138      4173          0       1002       585      1222     305651       2.481
   21     58365      1226          0       1002      1868      1145     286426       3.255
   22     60004      1639          0       1002      1329      1090     272598       3.615
   23     61199      1194          0       1002      1685      1006     251612       4.421
   24     64273      3074          0       1002       553       850     212723       3.347
   25     65537      1264          0       1002      1451       917     229343       4.083
   26     66701      1164          0       1002      1377       801     200468       4.918
   27     72740      6038       1119       1002       271       819     204863       2.000
   28     75674      2934        934       1002       640       940     235088       2.000
   29     77730      2055         55       1002      1028      1056     264170       2.000
   30     78658       928          0       1002      1890       877     219390       3.072
   31     79208       550          0       1002      3129       860     215151       4.522
   32     79862       654          0       1002      3144      1028     257050       5.868
   33     81242      1379          0       1002      1500      1034     258720       6.488
   34     82161       918          0       1002      2365      1086     271582       7.569
   35     88595      6434          0       1002       382      1229     307361       3.135
   36     94185      5590       2455       1002       429      1200     300176       2.000
   37     99710      5524       3524       1002       379      1049     262322       2.000
   38    105128      5417       3417       1002       352       954     238656       2.000
   39    107289      2160        160       1002       853       922     230537       2.000
   40    109543      2254        254       1002       801       903     225791       2.000
   41    114478      4934       2934       1002       341       842     210560       2.000
   42    122689      8210       6210       1002       188       773     193322       2.000
   43    130625      7935       5935       1002       219       871     217898       2.000
   44    135788      5162       3162       1002       431      1112     278194       2.000
   45    141113      5325       3325       1002       329       877     219280       2.000
   46    143638      2524        524       1002       681       860     215102       2.000
   47    146570      2932        932       1002       687      1007     251815       2.000
   48    148358      1787          0       1002      1140      1019     254855       2.212
   49    156606      8248       6036       1002       273      1129     282290       2.000
   50    164750      8143       6143       1002       301      1226     306522       2.000
   51    168002      3252       1252       1002       704      1145     286359       2.000
   52    174377      6374       4374       1002       341      1087     271950       2.000
   53    176803      2425        425       1002       836      1014     253536       2.000
   54    182779      5976       3976       1002       345      1032     258063       2.000
   55    189834      7054       5054       1002       245       866     216653       2.000
   56    191546      1711          0       1002       983       841     210472       2.288
   57    193592      2046          0       1002       790       808     202110       2.242
   58    194183       590          0       1002      2688       793     198453       3.651
   59    195135       951          0       1002      2475      1178     294537       4.699
   60    207782     12647       7947       1002       147       933     233429       2.000
   61    214959      7177       5177       1002       205       738     184579       2.000
   62    217709      2749        749       1002       664       913     228462       2.000
   63    224057      6347       4347       1002       339      1078     269699       2.000
   64    226656      2599        599       1002       783      1018     254745       2.000
   65    235206      8549       6549       1002       277      1187     296877       2.000
   66    237569      2363        363       1002       967      1143     285901       2.000
   67    238655      1086          0       1002      2076      1127     281936       2.914
   68    241944      3288        374       1002       638      1049     262483       2.000
   69    244083      2139        139       1002       979      1048     262019       2.000
   70    250283      6200       4200       1002       272       846     211534       2.000
   71    256736      6452       4452       1002       263       850     212505       2.000
   72    260867      4130       2130       1002       402       831     207755       2.000
   73    268752      7884       5884       1002       208       823     205946       2.000
   74    273932      5180       3180       1002       422      1095     273908       2.000
   75    280590      6657       4657       1002       281       936     234233       2.000
   76    281585       994          0       1002      1500       746     186629       3.005
   77    282668      1083          0       1002      1668       903     225923       3.922
   78    288715      6046       2124       1002       353      1067     266807       2.000
   79    290653      1938          0       1002      1061      1028     257247       2.062
   80    298161      7507       5445       1002       299      1122     280708       2.000
   81    299213      1051          0       1002      2344      1233     308258       2.948
   82    300443      1229          0       1002      1864      1146     286630       3.718
   83    300775       331          0       1002      6648      1103     275824       5.386
   84    301681       906          0       1002      2320      1051     262827       6.480
   85    302768      1087          0       1002      1542       838     209712       7.393
   86    303305       536          0       1002      3402       912     228045       8.856
   87    303799       494          0       1002      3385       836     209238      10.362
   88    304508       709          0       1002      2294       813     203406      11.653
   89    304975       467          0       1002      4100       957     239452      13.186
   90    305739       763          0       1002      2716      1037     259385      14.422
   91    306368       628          0       1002      2816       885     221335      15.793
   92    307120       751          0       1002      2177       818     204612      17.041
   93    307412       291          0       1002      6654       971     242863      18.749
   94    308672      1259          0       1002      1589      1001     250359      19.490
   95    312967      4295          0       1002       498      1070     267709      17.194
   96    324240     11272          0       1002       218      1232     308044       7.921
   97    339976     15735       7814       1002       150      1186     296743       2.000
   98    346467      6491       4491       1002       337      1095     273829       2.000
   99    351682      5214       3214       1002       377       985     246352       2.000
New connection was opened
  100    355641      3959       1959       1002       468       927     231867       2.000
  101    357907      2265        265       1002       842       954     238675       2.000
  102    359643      1735          0       1002       976       847     211800       2.264
  103    360767      1124          0       1002      1386       779     194798       3.140
  104    361832      1065          0       1002      1670       889     222463       4.075
  105    362572       740          0       1002      2979      1102     275691       5.334
  106    362860       287          0       1002      6025       865     216312       7.047
  107    366592      3732          0       1002       448       837     209296       5.314
  108    371524      4932          0       1002       387       956     239197       2.382
  109    375434      3909       1527       1002       514      1005     251312       2.000
  110    377917      2482        482       1002       843      1047     261945       2.000
  111    379691      1773          0       1002      1396      1238     309607       2.226
  112    380882      1191          0       1002      1947      1159     289996       3.035
  113    381975      1093          0       1002      2013      1100     275122       3.941
  114    382603       627          0       1002      3327      1043     260948       5.314
  115    382969       366          0       1002      5716      1047     261834       6.948
  116    383431       461          0       1002      3800       876     219248       8.486
  117    383647       216          0       1002      7745       839     209811      10.269
  118    385342      1694          0       4002      4071      3449     862265      10.575
  119    386956      1614          0       4002      4033      3256     814087      10.961
  120    403917     16960       6000       1002       138      1170     292674       2.000
  121    407300      3383       1383       1002       539       912     228003       2.000
  122    410827      3526       1526       1002       429       756     189170       2.000
  123    412485      1657          0       1002      1051       871     217963       2.342
  124    419424      6938       4596       1002       303      1053     263410       2.000
  125    425747      6323       4323       1002       328      1040     260016       2.000
  126    428688      2940        940       1002       808      1189     297258       2.000
  127    438389      9701       7701       1002       230      1120     280031       2.000
  128    441246      2857        857       1002       811      1160     290002       2.000
