period,q1,median_,q3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0.4
10,0,0.4,0.8
11,0,0.6,0.8
12,0.4,0.7,1
13,0.45,0.8,1
14,0.4,0.8,1.2
15,0.4,0.8,1
16,0.4,0.8,1
17,0.4,0.6,0.8
18,0.4,0.6,1
19,0.4,0.6,0.8
20,0.4,0.6,1
