period,q1,median_,q3
1,0.2,0.4,0.6
2,1,1.2,1.45
3,0.8,1,1.2
4,0.2,0.6,1.2
5,0.2,0.6,1
6,0,0.6,1
7,0.2,0.2,0.6
8,0,0.4,0.65
9,0,0.2,0.55
10,0,0.2,0.4
11,0,0.2,0.4
12,0,0.1,0.4
13,0,0,0.2
14,0,0,0.2
15,0,0,0.2
16,0,0,0.2
17,0,0,0.2
18,0,0,0.2
19,0,0,0.2
20,0,0,0.2
